Designation,Company,experience,average salary,minimum salary,maximum salary,ratings,reviews
Associate Consultant ,Tata-AIA-Life-Insurance,4-21yrs  ,"4,00,488",2.7,5.3,4.1,149
Senior Process Associate ,Tata-AIA-Life-Insurance,0-11yrs  ,"4,82,078",3.0,6.1,4.1,149
Software Engineer ,Tata-AIA-Life-Insurance,0-8yrs  ,"3,03,621",2.2,3.6,4.1,149
Process Associate ,Tata-AIA-Life-Insurance,0-9yrs  ,"6,05,491",2.4,12.0,4.1,149
Software Developer ,Tata-AIA-Life-Insurance,0-9yrs  ,"11,30,250",6.0,16.2,4.1,149
System Engineer Hardware ,Tata-AIA-Life-Insurance,0-6yrs  ,"8,25,293",4.0,11.5,4.1,149
System Engineer ,ITC-Infotech-India,0-10yrs  ,"9,84,953",2.0,45.0,4.1,149
IT Analyst ,ITC-Infotech-India,3-11yrs  ,"19,33,315",5.5,33.0,4.1,149
AST Consultant ,ITC-Infotech-India,6-15yrs  ,"10,04,213",3.0,25.0,4.1,149
Assistant System Engineer ,ITC-Infotech-India,0-4yrs  ,"6,76,858",2.2,16.0,4.1,149
Associate Consultant ,ITC-Infotech-India,4-21yrs  ,"3,49,944",1.8,5.5,4.1,149
Senior Process Associate ,ITC-Infotech-India,0-11yrs  ,"10,36,902",2.6,21.5,4.1,149
Software Engineer ,ITC-Infotech-India,0-8yrs  ,"6,77,109",2.6,15.0,4.1,149
Process Associate ,ITC-Infotech-India,0-9yrs  ,"13,15,376",4.8,22.0,4.1,149
Software Developer ,ITC-Infotech-India,0-9yrs  ,"6,71,048",3.4,15.0,4.1,149
System Engineer Hardware ,ITC-Infotech-India,0-6yrs  ,"13,57,943",3.6,21.5,4.1,149
System Engineer ,Utkarsh-Small-Finance-Bank,0-10yrs  ,"2,53,002",95.0,4.2,3.7,148
IT Analyst ,Utkarsh-Small-Finance-Bank,3-11yrs  ,"2,51,237",1.1,4.2,3.7,148
AST Consultant ,Utkarsh-Small-Finance-Bank,6-15yrs  ,"2,30,876",90.0,3.6,3.7,148
Assistant System Engineer ,Utkarsh-Small-Finance-Bank,0-4yrs  ,"5,55,133",2.6,10.0,3.7,148
Associate Consultant ,Utkarsh-Small-Finance-Bank,4-21yrs  ,"2,75,991",1.3,4.1,3.7,148
Senior Process Associate ,Utkarsh-Small-Finance-Bank,0-11yrs  ,"7,35,978",2.2,13.5,3.7,148
Software Engineer ,Utkarsh-Small-Finance-Bank,0-8yrs  ,"4,51,988",2.0,9.4,3.7,148
Process Associate ,Utkarsh-Small-Finance-Bank,0-9yrs  ,"9,33,164",3.3,14.4,3.7,148
Software Developer ,Utkarsh-Small-Finance-Bank,0-9yrs  ,"5,57,694",1.8,8.0,3.7,148
System Engineer Hardware ,Utkarsh-Small-Finance-Bank,0-6yrs  ,"2,84,010",2.0,3.6,3.7,148
System Engineer ,Shoppers-Stop,0-10yrs  ,"5,23,246",3.5,7.1,4.2,147
IT Analyst ,Shoppers-Stop,3-11yrs  ,"2,03,911",10.0,4.3,4.2,147
AST Consultant ,Shoppers-Stop,6-15yrs  ,"2,49,690",1.2,3.8,4.2,147
Assistant System Engineer ,Shoppers-Stop,0-4yrs  ,"2,15,180",1.0,8.0,4.2,147
Associate Consultant ,Shoppers-Stop,4-21yrs  ,"2,10,292",1.0,5.2,4.2,147
Senior Process Associate ,Shoppers-Stop,0-11yrs  ,"2,18,780",1.0,4.0,4.2,147
Software Engineer ,Shoppers-Stop,0-8yrs  ,"2,77,089",1.1,4.0,4.2,147
Process Associate ,Shoppers-Stop,0-9yrs  ,"2,09,526",1.0,3.5,4.2,147
Software Developer ,Shoppers-Stop,0-9yrs  ,"4,85,588",3.0,6.0,4.2,147
System Engineer Hardware ,Shoppers-Stop,0-6yrs  ,"4,46,266",1.8,6.0,4.2,147
System Engineer ,Conduent,0-10yrs  ,"9,42,091",4.2,17.5,4.5,146
IT Analyst ,Conduent,3-11yrs  ,"2,62,835",95.0,5.2,4.5,146
AST Consultant ,Conduent,6-15yrs  ,"3,22,743",1.5,5.5,4.5,146
Assistant System Engineer ,Conduent,0-4yrs  ,"4,52,985",2.0,8.0,4.5,146
Associate Consultant ,Conduent,4-21yrs  ,"6,49,509",2.7,12.0,4.5,146
Senior Process Associate ,Conduent,0-11yrs  ,"2,28,071",10.0,4.0,4.5,146
Software Engineer ,Conduent,0-8yrs  ,"5,94,620",3.0,8.5,4.5,146
Process Associate ,Conduent,0-9yrs  ,"2,61,467",1.1,4.5,4.5,146
Software Developer ,Conduent,0-9yrs  ,"6,33,084",2.8,10.0,4.5,146
System Engineer Hardware ,Conduent,0-6yrs  ,"4,77,140",3.0,6.3,4.5,146
System Engineer ,Paras-Hospital,0-10yrs  ,"2,36,539",90.0,6.1,4.0,145
IT Analyst ,Paras-Hospital,3-11yrs  ,"2,20,476",1.2,3.9,4.0,145
AST Consultant ,Paras-Hospital,6-15yrs  ,"2,70,342",1.6,3.6,4.0,145
Assistant System Engineer ,Paras-Hospital,0-4yrs  ,"22,90,731",12.0,33.0,4.0,145
Associate Consultant ,Paras-Hospital,4-21yrs  ,"3,67,600",3.0,4.5,4.0,145
Senior Process Associate ,Paras-Hospital,0-11yrs  ,"2,10,183",1.4,3.0,4.0,145
Software Engineer ,Paras-Hospital,0-8yrs  ,"3,12,679",2.1,4.2,4.0,145
Process Associate ,Paras-Hospital,0-9yrs  ,"2,29,444",1.4,3.0,4.0,145
Software Developer ,Paras-Hospital,0-9yrs  ,"2,19,874",1.0,3.6,4.0,145
System Engineer Hardware ,Paras-Hospital,0-6yrs  ,"7,08,346",5.4,9.0,4.0,145
System Engineer ,Jindal-Steel-and-Power,0-10yrs  ,"10,99,377",5.7,16.0,4.0,145
IT Analyst ,Jindal-Steel-and-Power,3-11yrs  ,"4,98,600",2.2,8.1,4.0,145
AST Consultant ,Jindal-Steel-and-Power,6-15yrs  ,"3,37,654",1.3,5.2,4.0,145
Assistant System Engineer ,Jindal-Steel-and-Power,0-4yrs  ,"10,96,943",5.0,16.5,4.0,145
Associate Consultant ,Jindal-Steel-and-Power,4-21yrs  ,"19,78,504",12.5,25.0,4.0,145
Senior Process Associate ,Jindal-Steel-and-Power,0-11yrs  ,"27,66,738",18.0,38.0,4.0,145
Software Engineer ,Jindal-Steel-and-Power,0-8yrs  ,"7,53,635",1.0,45.5,4.0,145
Process Associate ,Jindal-Steel-and-Power,0-9yrs  ,"3,77,873",1.4,6.5,4.0,145
Software Developer ,Jindal-Steel-and-Power,0-9yrs  ,"3,56,130",2.0,5.2,4.0,145
System Engineer Hardware ,Jindal-Steel-and-Power,0-6yrs  ,"2,02,709",1.5,2.8,4.0,145
System Engineer ,Ceat-Tyres,0-10yrs  ,"2,97,070",1.0,5.2,4.1,144
IT Analyst ,Ceat-Tyres,3-11yrs  ,"2,60,529",1.2,4.4,4.1,144
AST Consultant ,Ceat-Tyres,6-15yrs  ,"9,61,904",3.0,14.3,4.1,144
Assistant System Engineer ,Ceat-Tyres,0-4yrs  ,"2,18,068",1.1,3.0,4.1,144
Associate Consultant ,Ceat-Tyres,4-21yrs  ,"2,96,446",1.8,4.0,4.1,144
Senior Process Associate ,Ceat-Tyres,0-11yrs  ,"2,41,864",1.2,3.5,4.1,144
Software Engineer ,Ceat-Tyres,0-8yrs  ,"2,69,767",1.5,4.0,4.1,144
Process Associate ,Ceat-Tyres,0-9yrs  ,"2,76,835",1.4,4.1,4.1,144
Software Developer ,Ceat-Tyres,0-9yrs  ,"10,17,093",4.0,13.5,4.1,144
System Engineer Hardware ,Ceat-Tyres,0-6yrs  ,"2,80,569",1.7,4.1,4.1,144
System Engineer ,Berger-Paints,0-10yrs  ,"7,56,744",3.5,12.0,3.6,143
IT Analyst ,Berger-Paints,3-11yrs  ,"5,86,502",2.6,8.8,3.6,143
AST Consultant ,Berger-Paints,6-15yrs  ,"3,20,052",1.5,9.0,3.6,143
Assistant System Engineer ,Berger-Paints,0-4yrs  ,"15,21,099",6.9,23.1,3.6,143
Associate Consultant ,Berger-Paints,4-21yrs  ,"2,76,927",1.6,4.0,3.6,143
Senior Process Associate ,Berger-Paints,0-11yrs  ,"6,10,511",3.9,8.0,3.6,143
Software Engineer ,Berger-Paints,0-8yrs  ,"9,26,299",6.0,12.2,3.6,143
Process Associate ,Berger-Paints,0-9yrs  ,"7,28,814",4.5,9.6,3.6,143
Software Developer ,Berger-Paints,0-9yrs  ,"6,15,086",3.5,8.8,3.6,143
System Engineer Hardware ,Berger-Paints,0-6yrs  ,"10,02,002",7.2,14.3,3.6,143
System Engineer ,Suzlon-Group,0-10yrs  ,"3,29,641",1.1,5.0,3.9,143
IT Analyst ,Suzlon-Group,3-11yrs  ,"2,85,765",1.1,4.0,3.9,143
AST Consultant ,Suzlon-Group,6-15yrs  ,"4,90,526",2.5,8.9,3.9,143
Assistant System Engineer ,Suzlon-Group,0-4yrs  ,"3,44,170",1.7,5.0,3.9,143
Associate Consultant ,Suzlon-Group,4-21yrs  ,"2,70,856",1.4,4.0,3.9,143
Senior Process Associate ,Suzlon-Group,0-11yrs  ,"2,93,276",1.9,3.9,3.9,143
Software Engineer ,Suzlon-Group,0-8yrs  ,"11,68,657",6.5,17.0,3.9,143
Process Associate ,Suzlon-Group,0-9yrs  ,"3,16,567",1.5,4.8,3.9,143
Software Developer ,Suzlon-Group,0-9yrs  ,"3,76,128",1.5,5.2,3.9,143
System Engineer Hardware ,Suzlon-Group,0-6yrs  ,"3,25,943",1.5,4.5,3.9,143
System Engineer ,HDFC-Ergo-General-Insurance,0-10yrs  ,"6,04,018",3.0,9.6,3.6,142
IT Analyst ,HDFC-Ergo-General-Insurance,3-11yrs  ,"4,22,521",1.9,9.2,3.6,142
AST Consultant ,HDFC-Ergo-General-Insurance,6-15yrs  ,"2,78,241",1.1,5.0,3.6,142
Assistant System Engineer ,HDFC-Ergo-General-Insurance,0-4yrs  ,"17,53,377",8.6,30.0,3.6,142
Associate Consultant ,HDFC-Ergo-General-Insurance,4-21yrs  ,"2,60,544",20.0,4.0,3.6,142
Senior Process Associate ,HDFC-Ergo-General-Insurance,0-11yrs  ,"8,17,263",5.3,14.6,3.6,142
Software Engineer ,HDFC-Ergo-General-Insurance,0-8yrs  ,"3,09,233",2.0,4.2,3.6,142
Process Associate ,HDFC-Ergo-General-Insurance,0-9yrs  ,"2,92,071",1.2,4.0,3.6,142
Software Developer ,HDFC-Ergo-General-Insurance,0-9yrs  ,"4,09,644",2.3,5.1,3.6,142
System Engineer Hardware ,HDFC-Ergo-General-Insurance,0-6yrs  ,"3,11,376",2.4,4.0,3.6,142
System Engineer ,RSPL-Group,0-10yrs  ,"2,81,488",1.6,5.0,4.1,141
IT Analyst ,RSPL-Group,3-11yrs  ,"4,13,774",2.0,6.1,4.1,141
AST Consultant ,RSPL-Group,6-15yrs  ,"3,64,684",1.8,6.2,4.1,141
Assistant System Engineer ,RSPL-Group,0-4yrs  ,"2,72,017",1.7,4.3,4.1,141
Associate Consultant ,RSPL-Group,4-21yrs  ,"2,20,941",1.0,3.3,4.1,141
Senior Process Associate ,RSPL-Group,0-11yrs  ,"8,81,963",3.3,13.0,4.1,141
Software Engineer ,RSPL-Group,0-8yrs  ,"2,43,791",1.1,4.5,4.1,141
Process Associate ,RSPL-Group,0-9yrs  ,"2,79,360",1.5,3.6,4.1,141
Software Developer ,RSPL-Group,0-9yrs  ,"3,11,367",1.6,4.2,4.1,141
System Engineer Hardware ,RSPL-Group,0-6yrs  ,"2,58,470",1.5,4.3,4.1,141
System Engineer ,RBL-Bank,0-10yrs  ,"5,27,093",2.5,8.1,4.6,141
IT Analyst ,RBL-Bank,3-11yrs  ,"4,24,542",2.0,8.6,4.6,141
AST Consultant ,RBL-Bank,6-15yrs  ,"16,86,589",9.5,26.0,4.6,141
Assistant System Engineer ,RBL-Bank,0-4yrs  ,"13,30,131",2.6,28.0,4.6,141
Associate Consultant ,RBL-Bank,4-21yrs  ,"23,93,954",14.0,33.0,4.6,141
Senior Process Associate ,RBL-Bank,0-11yrs  ,"7,67,330",2.8,14.0,4.6,141
Software Engineer ,RBL-Bank,0-8yrs  ,"3,74,925",1.8,5.3,4.6,141
Process Associate ,RBL-Bank,0-9yrs  ,"2,58,912",1.4,4.0,4.6,141
Software Developer ,RBL-Bank,0-9yrs  ,"2,98,292",1.8,4.2,4.6,141
System Engineer Hardware ,RBL-Bank,0-6yrs  ,"7,55,427",3.1,12.2,4.6,141
System Engineer ,Indian-Oil-Corporation,0-10yrs  ,"1,60,139",10.0,5.4,3.5,140
IT Analyst ,Indian-Oil-Corporation,3-11yrs  ,"1,49,065",10.0,5.0,3.5,140
AST Consultant ,Indian-Oil-Corporation,6-15yrs  ,"1,81,218",10.0,3.5,3.5,140
Assistant System Engineer ,Indian-Oil-Corporation,0-4yrs  ,"2,43,022",20.0,9.3,3.5,140
Associate Consultant ,Indian-Oil-Corporation,4-21yrs  ,"1,27,059",10.0,3.1,3.5,140
Senior Process Associate ,Indian-Oil-Corporation,0-11yrs  ,"3,45,064",1.2,12.0,3.5,140
Software Engineer ,Indian-Oil-Corporation,0-8yrs  ,"3,45,090",2.3,4.2,3.5,140
Process Associate ,Indian-Oil-Corporation,0-9yrs  ,"6,40,133",1.2,13.5,3.5,140
Software Developer ,Indian-Oil-Corporation,0-9yrs  ,"2,38,307",1.0,5.0,3.5,140
System Engineer Hardware ,Indian-Oil-Corporation,0-6yrs  ,"3,51,465",1.0,8.0,3.5,140
System Engineer ,Arvind-Group,0-10yrs  ,"4,26,190",1.7,8.5,4.0,129
IT Analyst ,Arvind-Group,3-11yrs  ,"2,36,462",1.0,4.0,4.0,129
AST Consultant ,Arvind-Group,6-15yrs  ,"4,10,084",2.0,10.3,4.0,129
Assistant System Engineer ,Arvind-Group,0-4yrs  ,"3,85,444",2.5,5.0,4.0,129
Associate Consultant ,Arvind-Group,4-21yrs  ,"2,66,690",1.0,14.2,4.0,129
Senior Process Associate ,Arvind-Group,0-11yrs  ,"2,47,386",1.1,5.1,4.0,129
Software Engineer ,Arvind-Group,0-8yrs  ,"3,11,256",1.9,4.1,4.0,129
Process Associate ,Arvind-Group,0-9yrs  ,"5,50,973",2.7,10.0,4.0,129
Software Developer ,Arvind-Group,0-9yrs  ,"5,83,761",2.7,14.0,4.0,129
System Engineer Hardware ,Arvind-Group,0-6yrs  ,"5,26,876",3.1,8.7,4.0,129
System Engineer ,Wipro-Enterprises-Ltd,0-10yrs  ,"4,29,412",1.9,9.2,4.4,129
IT Analyst ,Wipro-Enterprises-Ltd,3-11yrs  ,"12,39,483",5.0,22.0,4.4,129
AST Consultant ,Wipro-Enterprises-Ltd,6-15yrs  ,"8,11,758",5.0,14.0,4.4,129
Assistant System Engineer ,Wipro-Enterprises-Ltd,0-4yrs  ,"2,83,457",1.4,4.8,4.4,129
Associate Consultant ,Wipro-Enterprises-Ltd,4-21yrs  ,"4,96,241",1.4,11.9,4.4,129
Senior Process Associate ,Wipro-Enterprises-Ltd,0-11yrs  ,"17,41,664",7.0,25.0,4.4,129
Software Engineer ,Wipro-Enterprises-Ltd,0-8yrs  ,"9,92,049",2.8,22.0,4.4,129
Process Associate ,Wipro-Enterprises-Ltd,0-9yrs  ,"6,40,214",3.0,13.0,4.4,129
Software Developer ,Wipro-Enterprises-Ltd,0-9yrs  ,"4,12,159",1.8,6.2,4.4,129
System Engineer Hardware ,Wipro-Enterprises-Ltd,0-6yrs  ,"3,69,538",2.0,5.9,4.4,129
System Engineer ,Titan-Company,0-10yrs  ,"2,80,630",60.0,10.8,3.8,128
IT Analyst ,Titan-Company,3-11yrs  ,"3,73,247",1.5,6.8,3.8,128
AST Consultant ,Titan-Company,6-15yrs  ,"16,05,944",6.0,28.0,3.8,128
Assistant System Engineer ,Titan-Company,0-4yrs  ,"2,96,201",60.0,18.0,3.8,128
Associate Consultant ,Titan-Company,4-21yrs  ,"3,80,941",1.3,10.2,3.8,128
Senior Process Associate ,Titan-Company,0-11yrs  ,"6,38,293",3.8,8.0,3.8,128
Software Engineer ,Titan-Company,0-8yrs  ,"3,18,559",1.2,6.2,3.8,128
Process Associate ,Titan-Company,0-9yrs  ,"8,24,942",4.5,11.5,3.8,128
Software Developer ,Titan-Company,0-9yrs  ,"4,43,177",1.8,10.6,3.8,128
System Engineer Hardware ,Titan-Company,0-6yrs  ,"3,59,510",1.5,9.0,3.8,128
System Engineer ,KocharTech,0-10yrs  ,"1,72,787",10.0,3.3,3.9,128
IT Analyst ,KocharTech,3-11yrs  ,"2,46,987",10.0,10.0,3.9,128
AST Consultant ,KocharTech,6-15yrs  ,"2,13,923",65.0,7.0,3.9,128
Assistant System Engineer ,KocharTech,0-4yrs  ,"2,07,868",10.0,4.5,3.9,128
Associate Consultant ,KocharTech,4-21yrs  ,"3,12,742",1.6,4.9,3.9,128
Senior Process Associate ,KocharTech,0-11yrs  ,"3,71,580",1.6,4.5,3.9,128
Software Engineer ,KocharTech,0-8yrs  ,"2,44,825",15.0,4.5,3.9,128
Process Associate ,KocharTech,0-9yrs  ,"1,90,963",50.0,7.1,3.9,128
Software Developer ,KocharTech,0-9yrs  ,"2,79,498",1.2,4.0,3.9,128
System Engineer Hardware ,KocharTech,0-6yrs  ,"3,46,244",2.5,4.2,3.9,128
System Engineer ,Dilip-Buildcon,0-10yrs  ,"6,96,594",4.0,10.9,3.5,127
IT Analyst ,Dilip-Buildcon,3-11yrs  ,"4,02,289",2.0,6.0,3.5,127
AST Consultant ,Dilip-Buildcon,6-15yrs  ,"3,46,868",2.1,4.7,3.5,127
Assistant System Engineer ,Dilip-Buildcon,0-4yrs  ,"2,34,970",1.1,3.5,3.5,127
Associate Consultant ,Dilip-Buildcon,4-21yrs  ,"3,49,857",2.0,5.0,3.5,127
Senior Process Associate ,Dilip-Buildcon,0-11yrs  ,"4,67,287",2.9,6.5,3.5,127
Software Engineer ,Dilip-Buildcon,0-8yrs  ,"3,47,115",2.4,4.5,3.5,127
Process Associate ,Dilip-Buildcon,0-9yrs  ,"3,05,665",1.9,4.2,3.5,127
Software Developer ,Dilip-Buildcon,0-9yrs  ,"3,03,682",1.8,4.5,3.5,127
System Engineer Hardware ,Dilip-Buildcon,0-6yrs  ,"4,58,071",2.5,6.4,3.5,127
System Engineer ,Huawei-Technologies,0-10yrs  ,"6,07,245",1.7,11.2,4.2,127
IT Analyst ,Huawei-Technologies,3-11yrs  ,"7,63,160",2.5,13.6,4.2,127
AST Consultant ,Huawei-Technologies,6-15yrs  ,"6,05,114",2.0,11.2,4.2,127
Assistant System Engineer ,Huawei-Technologies,0-4yrs  ,"13,34,537",6.3,20.0,4.2,127
Associate Consultant ,Huawei-Technologies,4-21yrs  ,"4,91,619",2.3,8.0,4.2,127
Senior Process Associate ,Huawei-Technologies,0-11yrs  ,"12,79,164",3.3,18.2,4.2,127
Software Engineer ,Huawei-Technologies,0-8yrs  ,"3,94,731",2.1,5.0,4.2,127
Process Associate ,Huawei-Technologies,0-9yrs  ,"6,34,669",2.0,15.4,4.2,127
Software Developer ,Huawei-Technologies,0-9yrs  ,"4,16,830",2.4,8.0,4.2,127
System Engineer Hardware ,Huawei-Technologies,0-6yrs  ,"14,88,479",5.3,22.0,4.2,127
System Engineer ,Jubilant-Foods-Works,0-10yrs  ,"5,06,073",2.8,7.5,4.0,126
IT Analyst ,Jubilant-Foods-Works,3-11yrs  ,"5,31,771",3.3,7.4,4.0,126
AST Consultant ,Jubilant-Foods-Works,6-15yrs  ,"3,52,752",1.9,4.6,4.0,126
Assistant System Engineer ,Jubilant-Foods-Works,0-4yrs  ,"7,07,030",5.0,9.0,4.0,126
Associate Consultant ,Jubilant-Foods-Works,4-21yrs  ,"2,61,919",1.4,4.0,4.0,126
Senior Process Associate ,Jubilant-Foods-Works,0-11yrs  ,"4,82,604",2.9,7.2,4.0,126
Software Engineer ,Jubilant-Foods-Works,0-8yrs  ,"10,43,997",6.2,13.5,4.0,126
Process Associate ,Jubilant-Foods-Works,0-9yrs  ,"13,46,186",6.5,21.0,4.0,126
Software Developer ,Jubilant-Foods-Works,0-9yrs  ,"1,68,485",80.0,4.5,4.0,126
System Engineer Hardware ,Jubilant-Foods-Works,0-6yrs  ,"1,85,042",15.0,15.0,4.0,126
System Engineer ,KPIT-Technologies,0-10yrs  ,"11,00,812",4.5,18.0,3.9,126
IT Analyst ,KPIT-Technologies,3-11yrs  ,"6,30,147",2.0,14.0,3.9,126
AST Consultant ,KPIT-Technologies,6-15yrs  ,"14,27,028",5.5,26.0,3.9,126
Assistant System Engineer ,KPIT-Technologies,0-4yrs  ,"6,69,474",2.2,14.0,3.9,126
Associate Consultant ,KPIT-Technologies,4-21yrs  ,"4,53,476",2.0,9.5,3.9,126
Senior Process Associate ,KPIT-Technologies,0-11yrs  ,"19,46,697",9.1,30.0,3.9,126
Software Engineer ,KPIT-Technologies,0-8yrs  ,"10,48,567",5.2,14.5,3.9,126
Process Associate ,KPIT-Technologies,0-9yrs  ,"6,61,379",2.0,16.0,3.9,126
Software Developer ,KPIT-Technologies,0-9yrs  ,"5,45,086",2.1,8.0,3.9,126
System Engineer Hardware ,KPIT-Technologies,0-6yrs  ,"7,88,865",4.0,11.8,3.9,126
System Engineer ,UPL,0-10yrs  ,"4,93,728",2.0,7.0,3.6,125
IT Analyst ,UPL,3-11yrs  ,"4,29,435",2.1,6.5,3.6,125
AST Consultant ,UPL,6-15yrs  ,"6,05,039",3.0,9.9,3.6,125
Assistant System Engineer ,UPL,0-4yrs  ,"3,27,312",1.5,5.0,3.6,125
Associate Consultant ,UPL,4-21yrs  ,"3,99,131",2.0,6.5,3.6,125
Senior Process Associate ,UPL,0-11yrs  ,"2,65,091",1.5,4.2,3.6,125
Software Engineer ,UPL,0-8yrs  ,"1,56,680",1.0,2.8,3.6,125
Process Associate ,UPL,0-9yrs  ,"8,69,181",5.7,16.0,3.6,125
Software Developer ,UPL,0-9yrs  ,"2,84,419",1.5,4.2,3.6,125
System Engineer Hardware ,UPL,0-6yrs  ,"6,89,274",4.0,9.3,3.6,125
System Engineer ,Lava-International,0-10yrs  ,"7,88,022",3.3,13.0,4.0,125
IT Analyst ,Lava-International,3-11yrs  ,"3,63,140",2.5,5.0,4.0,125
AST Consultant ,Lava-International,6-15yrs  ,"3,09,889",2.0,4.5,4.0,125
Assistant System Engineer ,Lava-International,0-4yrs  ,"2,07,775",15.0,4.0,4.0,125
Associate Consultant ,Lava-International,4-21yrs  ,"9,17,713",5.5,12.2,4.0,125
Senior Process Associate ,Lava-International,0-11yrs  ,"2,98,051",2.1,3.6,4.0,125
Software Engineer ,Lava-International,0-8yrs  ,"5,31,221",3.0,8.3,4.0,125
Process Associate ,Lava-International,0-9yrs  ,"4,84,771",3.3,6.4,4.0,125
Software Developer ,Lava-International,0-9yrs  ,"16,44,592",10.5,20.5,4.0,125
System Engineer Hardware ,Lava-International,0-6yrs  ,"3,12,588",1.0,10.3,4.0,125
System Engineer ,Apollo-Tyres,0-10yrs  ,"4,80,617",1.3,10.0,4.4,123
IT Analyst ,Apollo-Tyres,3-11yrs  ,"2,86,104",1.0,5.5,4.4,123
AST Consultant ,Apollo-Tyres,6-15yrs  ,"8,05,944",5.0,11.0,4.4,123
Assistant System Engineer ,Apollo-Tyres,0-4yrs  ,"6,83,495",3.9,9.6,4.4,123
Associate Consultant ,Apollo-Tyres,4-21yrs  ,"7,96,985",4.1,10.8,4.4,123
Senior Process Associate ,Apollo-Tyres,0-11yrs  ,"2,09,433",60.0,5.5,4.4,123
Software Engineer ,Apollo-Tyres,0-8yrs  ,"3,64,241",1.6,7.2,4.4,123
Process Associate ,Apollo-Tyres,0-9yrs  ,"2,44,322",1.4,3.3,4.4,123
Software Developer ,Apollo-Tyres,0-9yrs  ,"1,54,269",9.0,3.1,4.4,123
System Engineer Hardware ,Apollo-Tyres,0-6yrs  ,"6,18,473",3.5,8.6,4.4,123
System Engineer ,Reliance-SMSL,0-10yrs  ,"3,19,338",1.8,4.8,4.2,123
IT Analyst ,Reliance-SMSL,3-11yrs  ,"2,85,698",1.9,4.0,4.2,123
AST Consultant ,Reliance-SMSL,6-15yrs  ,"2,69,896",1.2,4.0,4.2,123
Assistant System Engineer ,Reliance-SMSL,0-4yrs  ,"2,32,076",1.2,3.6,4.2,123
Associate Consultant ,Reliance-SMSL,4-21yrs  ,"3,44,907",1.0,5.6,4.2,123
Senior Process Associate ,Reliance-SMSL,0-11yrs  ,"2,30,584",70.0,3.4,4.2,123
Software Engineer ,Reliance-SMSL,0-8yrs  ,"2,03,577",1.0,4.0,4.2,123
Process Associate ,Reliance-SMSL,0-9yrs  ,"1,80,385",1.1,2.5,4.2,123
Software Developer ,Reliance-SMSL,0-9yrs  ,"4,36,980",2.5,6.0,4.2,123
System Engineer Hardware ,Reliance-SMSL,0-6yrs  ,"3,21,021",2.2,4.3,4.2,123
System Engineer ,Tata-AIG,0-10yrs  ,"4,46,156",1.8,8.0,3.3,122
IT Analyst ,Tata-AIG,3-11yrs  ,"4,34,944",1.8,8.0,3.3,122
AST Consultant ,Tata-AIG,6-15yrs  ,"3,89,155",2.2,9.0,3.3,122
Assistant System Engineer ,Tata-AIG,0-4yrs  ,"6,69,715",2.0,11.0,3.3,122
Associate Consultant ,Tata-AIG,4-21yrs  ,"10,05,971",5.0,16.2,3.3,122
Senior Process Associate ,Tata-AIG,0-11yrs  ,"7,73,775",3.3,12.0,3.3,122
Software Engineer ,Tata-AIG,0-8yrs  ,"2,19,579",1.0,3.5,3.3,122
Process Associate ,Tata-AIG,0-9yrs  ,"2,67,842",1.6,4.7,3.3,122
Software Developer ,Tata-AIG,0-9yrs  ,"13,97,426",8.8,22.1,3.3,122
System Engineer Hardware ,Tata-AIG,0-6yrs  ,"2,26,644",1.1,4.0,3.3,122
System Engineer ,Capita,0-10yrs  ,"17,79,975",6.5,27.0,4.3,122
IT Analyst ,Capita,3-11yrs  ,"4,05,505",3.0,7.0,4.3,122
AST Consultant ,Capita,6-15yrs  ,"8,95,259",3.5,17.0,4.3,122
Assistant System Engineer ,Capita,0-4yrs  ,"3,44,569",1.4,5.8,4.3,122
Associate Consultant ,Capita,4-21yrs  ,"3,35,616",1.2,5.1,4.3,122
Senior Process Associate ,Capita,0-11yrs  ,"5,31,934",2.8,7.5,4.3,122
Software Engineer ,Capita,0-8yrs  ,"8,47,453",4.8,10.5,4.3,122
Process Associate ,Capita,0-9yrs  ,"3,81,548",2.1,5.5,4.3,122
Software Developer ,Capita,0-9yrs  ,"23,30,501",11.8,31.1,4.3,122
System Engineer Hardware ,Capita,0-6yrs  ,"8,16,007",5.3,10.0,4.3,122
System Engineer ,Flex,0-10yrs  ,"4,03,124",2.0,6.0,3.1,121
IT Analyst ,Flex,3-11yrs  ,"3,84,880",2.0,5.5,3.1,121
AST Consultant ,Flex,6-15yrs  ,"5,90,757",3.0,8.2,3.1,121
Assistant System Engineer ,Flex,0-4yrs  ,"3,68,320",2.5,5.0,3.1,121
Associate Consultant ,Flex,4-21yrs  ,"9,53,200",3.5,13.5,3.1,121
Senior Process Associate ,Flex,0-11yrs  ,"4,95,721",2.0,7.7,3.1,121
Software Engineer ,Flex,0-8yrs  ,"3,91,292",2.0,7.0,3.1,121
Process Associate ,Flex,0-9yrs  ,"2,62,798",1.3,3.9,3.1,121
Software Developer ,Flex,0-9yrs  ,"3,13,855",2.0,4.0,3.1,121
System Engineer Hardware ,Flex,0-6yrs  ,"7,81,421",3.9,10.0,3.1,121
System Engineer ,Synechron,0-10yrs  ,"16,01,648",2.9,28.9,4.2,121
IT Analyst ,Synechron,3-11yrs  ,"21,79,063",8.5,35.0,4.2,121
AST Consultant ,Synechron,6-15yrs  ,"14,15,515",4.0,31.0,4.2,121
