Designation,Company,experience,average salary,minimum salary,maximum salary,ratings,reviews
IT Analyst ,Capgemini-Technology-Services-India-Limited,3-11yrs  ,"14,27,135",4.0,26.5,3.3,318
AST Consultant ,Capgemini-Technology-Services-India-Limited,6-15yrs  ,"6,23,408",1.9,13.2,3.3,318
Assistant System Engineer ,Capgemini-Technology-Services-India-Limited,0-4yrs  ,"4,48,931",1.0,7.5,3.3,318
Associate Consultant ,Capgemini-Technology-Services-India-Limited,4-21yrs  ,"2,93,304",1.2,5.0,3.3,318
Senior Process Associate ,Capgemini-Technology-Services-India-Limited,0-11yrs  ,"4,99,248",2.1,9.9,3.3,318
Software Engineer ,Capgemini-Technology-Services-India-Limited,0-8yrs  ,"4,05,687",1.7,7.7,3.3,318
Process Associate ,Capgemini-Technology-Services-India-Limited,0-9yrs  ,"5,97,528",2.6,10.1,3.3,318
Software Developer ,Capgemini-Technology-Services-India-Limited,0-9yrs  ,"6,36,548",2.3,13.0,3.3,318
System Engineer Hardware ,Capgemini-Technology-Services-India-Limited,0-6yrs  ,"3,99,616",2.0,5.0,3.3,318
System Engineer ,JLL,0-10yrs  ,"4,09,799",2.0,6.0,3.8,315
IT Analyst ,JLL,3-11yrs  ,"6,55,957",3.0,10.0,3.8,315
AST Consultant ,JLL,6-15yrs  ,"4,09,356",2.0,5.7,3.8,315
Assistant System Engineer ,JLL,0-4yrs  ,"9,46,026",3.6,15.0,3.8,315
Associate Consultant ,JLL,4-21yrs  ,"6,31,765",3.0,10.5,3.8,315
Senior Process Associate ,JLL,0-11yrs  ,"7,15,973",3.9,10.0,3.8,315
Software Engineer ,JLL,0-8yrs  ,"5,25,143",3.0,7.5,3.8,315
Process Associate ,JLL,0-9yrs  ,"8,51,483",4.0,14.0,3.8,315
Software Developer ,JLL,0-9yrs  ,"4,08,850",2.2,6.2,3.8,315
System Engineer Hardware ,JLL,0-6yrs  ,"4,76,866",2.6,7.5,3.8,315
System Engineer ,First-Source,0-10yrs  ,"4,71,897",1.9,7.2,4.3,312
IT Analyst ,First-Source,3-11yrs  ,"3,76,249",1.9,5.8,4.3,312
AST Consultant ,First-Source,6-15yrs  ,"2,42,561",50.0,9.1,4.3,312
Assistant System Engineer ,First-Source,0-4yrs  ,"2,73,373",95.0,5.7,4.3,312
Associate Consultant ,First-Source,4-21yrs  ,"3,81,724",1.2,7.0,4.3,312
Senior Process Associate ,First-Source,0-11yrs  ,"2,72,954",10.0,8.0,4.3,312
Software Engineer ,First-Source,0-8yrs  ,"5,76,571",1.1,10.5,4.3,312
Process Associate ,First-Source,0-9yrs  ,"3,18,260",1.0,6.5,4.3,312
Software Developer ,First-Source,0-9yrs  ,"3,08,076",1.2,4.5,4.3,312
System Engineer Hardware ,First-Source,0-6yrs  ,"2,24,771",15.0,7.1,4.3,312
System Engineer ,Hero-MotoCorp,0-10yrs  ,"12,56,052",6.4,20.0,4.0,309
IT Analyst ,Hero-MotoCorp,3-11yrs  ,"11,49,235",6.0,16.3,4.0,309
AST Consultant ,Hero-MotoCorp,6-15yrs  ,"9,16,197",3.8,14.5,4.0,309
Assistant System Engineer ,Hero-MotoCorp,0-4yrs  ,"9,79,751",4.0,20.0,4.0,309
Associate Consultant ,Hero-MotoCorp,4-21yrs  ,"9,36,162",5.6,18.0,4.0,309
Senior Process Associate ,Hero-MotoCorp,0-11yrs  ,"1,78,395",15.0,9.1,4.0,309
Software Engineer ,Hero-MotoCorp,0-8yrs  ,"10,76,060",6.0,15.5,4.0,309
Process Associate ,Hero-MotoCorp,0-9yrs  ,"11,19,419",6.8,14.7,4.0,309
Software Developer ,Hero-MotoCorp,0-9yrs  ,"3,08,247",80.0,14.3,4.0,309
System Engineer Hardware ,Hero-MotoCorp,0-6yrs  ,"1,80,963",15.0,20.1,4.0,309
System Engineer ,Hewlett-Packard-Enterprise,0-10yrs  ,"4,52,021",1.5,9.9,3.9,306
IT Analyst ,Hewlett-Packard-Enterprise,3-11yrs  ,"3,34,285",1.1,6.0,3.9,306
AST Consultant ,Hewlett-Packard-Enterprise,6-15yrs  ,"7,69,011",1.8,25.0,3.9,306
Assistant System Engineer ,Hewlett-Packard-Enterprise,0-4yrs  ,"4,35,339",1.7,6.5,3.9,306
Associate Consultant ,Hewlett-Packard-Enterprise,4-21yrs  ,"7,10,757",1.1,21.0,3.9,306
Senior Process Associate ,Hewlett-Packard-Enterprise,0-11yrs  ,"9,61,294",3.6,22.8,3.9,306
Software Engineer ,Hewlett-Packard-Enterprise,0-8yrs  ,"16,48,318",4.8,35.0,3.9,306
Process Associate ,Hewlett-Packard-Enterprise,0-9yrs  ,"9,72,315",2.5,25.9,3.9,306
Software Developer ,Hewlett-Packard-Enterprise,0-9yrs  ,"3,51,019",1.4,6.4,3.9,306
System Engineer Hardware ,Hewlett-Packard-Enterprise,0-6yrs  ,"9,38,863",3.4,27.5,3.9,306
System Engineer ,JustDial,0-10yrs  ,"3,06,098",1.0,6.5,3.8,304
IT Analyst ,JustDial,3-11yrs  ,"2,55,062",1.0,4.2,3.8,304
AST Consultant ,JustDial,6-15yrs  ,"3,16,782",1.5,5.0,3.8,304
Assistant System Engineer ,JustDial,0-4yrs  ,"3,06,507",1.0,4.8,3.8,304
Associate Consultant ,JustDial,4-21yrs  ,"4,06,608",2.0,7.5,3.8,304
Senior Process Associate ,JustDial,0-11yrs  ,"2,41,590",16.0,10.0,3.8,304
Software Engineer ,JustDial,0-8yrs  ,"2,96,850",1.2,4.4,3.8,304
Process Associate ,JustDial,0-9yrs  ,"2,58,528",1.4,4.5,3.8,304
Software Developer ,JustDial,0-9yrs  ,"5,77,035",2.4,9.0,3.8,304
System Engineer Hardware ,JustDial,0-6yrs  ,"2,46,347",1.3,4.5,3.8,304
System Engineer ,Bajaj-Allianz-Life-Insurance,0-10yrs  ,"3,07,247",1.3,4.5,3.9,302
IT Analyst ,Bajaj-Allianz-Life-Insurance,3-11yrs  ,"3,10,965",1.9,4.3,3.9,302
AST Consultant ,Bajaj-Allianz-Life-Insurance,6-15yrs  ,"3,54,159",2.3,4.3,3.9,302
Assistant System Engineer ,Bajaj-Allianz-Life-Insurance,0-4yrs  ,"4,21,408",2.5,6.5,3.9,302
Associate Consultant ,Bajaj-Allianz-Life-Insurance,4-21yrs  ,"4,33,533",3.3,5.5,3.9,302
Senior Process Associate ,Bajaj-Allianz-Life-Insurance,0-11yrs  ,"3,12,065",95.0,6.5,3.9,302
Software Engineer ,Bajaj-Allianz-Life-Insurance,0-8yrs  ,"4,24,413",3.0,5.5,3.9,302
Process Associate ,Bajaj-Allianz-Life-Insurance,0-9yrs  ,"3,09,395",2.2,4.3,3.9,302
Software Developer ,Bajaj-Allianz-Life-Insurance,0-9yrs  ,"3,58,628",2.4,5.0,3.9,302
System Engineer Hardware ,Bajaj-Allianz-Life-Insurance,0-6yrs  ,"4,62,668",40.0,9.0,3.9,302
System Engineer ,Omega-Healthcare,0-10yrs  ,"3,89,291",10.0,10.2,4.0,298
IT Analyst ,Omega-Healthcare,3-11yrs  ,"3,03,454",10.0,5.5,4.0,298
AST Consultant ,Omega-Healthcare,6-15yrs  ,"4,95,447",1.3,9.1,4.0,298
Assistant System Engineer ,Omega-Healthcare,0-4yrs  ,"3,20,308",15.0,6.0,4.0,298
Associate Consultant ,Omega-Healthcare,4-21yrs  ,"3,47,600",70.0,10.2,4.0,298
Senior Process Associate ,Omega-Healthcare,0-11yrs  ,"5,08,936",1.8,8.5,4.0,298
Software Engineer ,Omega-Healthcare,0-8yrs  ,"2,92,415",15.0,6.2,4.0,298
Process Associate ,Omega-Healthcare,0-9yrs  ,"4,33,196",1.7,7.9,4.0,298
Software Developer ,Omega-Healthcare,0-9yrs  ,"4,48,959",1.5,7.8,4.0,298
System Engineer Hardware ,Omega-Healthcare,0-6yrs  ,"4,36,676",1.6,6.2,4.0,298
System Engineer ,Cyient,0-10yrs  ,"5,60,937",1.8,12.0,3.7,296
IT Analyst ,Cyient,3-11yrs  ,"7,54,153",3.1,12.5,3.7,296
AST Consultant ,Cyient,6-15yrs  ,"3,00,426",1.0,5.2,3.7,296
Assistant System Engineer ,Cyient,0-4yrs  ,"3,63,941",1.4,6.0,3.7,296
Associate Consultant ,Cyient,4-21yrs  ,"6,49,011",1.7,15.2,3.7,296
Senior Process Associate ,Cyient,0-11yrs  ,"3,80,551",1.5,7.5,3.7,296
Software Engineer ,Cyient,0-8yrs  ,"11,55,003",5.0,23.0,3.7,296
Process Associate ,Cyient,0-9yrs  ,"12,25,683",3.5,25.0,3.7,296
Software Developer ,Cyient,0-9yrs  ,"9,87,043",4.5,18.5,3.7,296
System Engineer Hardware ,Cyient,0-6yrs  ,"2,22,956",1.0,3.3,3.7,296
System Engineer ,Hyundai-Motor,0-10yrs  ,"2,27,088",10.0,10.0,4.3,288
IT Analyst ,Hyundai-Motor,3-11yrs  ,"2,51,352",15.0,4.2,4.3,288
AST Consultant ,Hyundai-Motor,6-15yrs  ,"2,28,304",15.0,15.2,4.3,288
Assistant System Engineer ,Hyundai-Motor,0-4yrs  ,"2,66,516",15.0,4.2,4.3,288
Associate Consultant ,Hyundai-Motor,4-21yrs  ,"2,35,289",15.0,4.0,4.3,288
Senior Process Associate ,Hyundai-Motor,0-11yrs  ,"14,29,839",6.1,21.8,4.3,288
Software Engineer ,Hyundai-Motor,0-8yrs  ,"2,63,715",15.0,5.5,4.3,288
Process Associate ,Hyundai-Motor,0-9yrs  ,"8,73,697",4.0,11.3,4.3,288
Software Developer ,Hyundai-Motor,0-9yrs  ,"2,13,788",15.0,4.0,4.3,288
System Engineer Hardware ,Hyundai-Motor,0-6yrs  ,"16,80,720",10.0,24.0,4.3,288
System Engineer ,D-Mart,0-10yrs  ,"4,75,005",2.6,7.2,4.0,286
IT Analyst ,D-Mart,3-11yrs  ,"1,55,084",10.0,16.0,4.0,286
AST Consultant ,D-Mart,6-15yrs  ,"2,85,727",1.4,4.5,4.0,286
Assistant System Engineer ,D-Mart,0-4yrs  ,"7,21,148",4.0,10.0,4.0,286
Associate Consultant ,D-Mart,4-21yrs  ,"2,99,129",1.0,5.8,4.0,286
Senior Process Associate ,D-Mart,0-11yrs  ,"2,15,501",20.0,3.6,4.0,286
Software Engineer ,D-Mart,0-8yrs  ,"3,84,798",1.8,5.6,4.0,286
Process Associate ,D-Mart,0-9yrs  ,"2,29,100",15.0,4.5,4.0,286
Software Developer ,D-Mart,0-9yrs  ,"3,38,983",2.5,4.5,4.0,286
System Engineer Hardware ,D-Mart,0-6yrs  ,"3,84,293",2.1,5.0,4.0,286
System Engineer ,Reliance-Communications,0-10yrs  ,"6,73,460",2.4,11.7,3.6,284
IT Analyst ,Reliance-Communications,3-11yrs  ,"2,51,902",75.0,6.0,3.6,284
AST Consultant ,Reliance-Communications,6-15yrs  ,"2,87,926",2.0,4.0,3.6,284
Assistant System Engineer ,Reliance-Communications,0-4yrs  ,"3,24,936",75.0,6.5,3.6,284
Associate Consultant ,Reliance-Communications,4-21yrs  ,"3,80,940",1.8,6.4,3.6,284
Senior Process Associate ,Reliance-Communications,0-11yrs  ,"3,10,480",1.0,5.6,3.6,284
Software Engineer ,Reliance-Communications,0-8yrs  ,"3,26,884",75.0,7.0,3.6,284
Process Associate ,Reliance-Communications,0-9yrs  ,"3,90,720",1.1,9.1,3.6,284
Software Developer ,Reliance-Communications,0-9yrs  ,"3,07,965",1.8,4.4,3.6,284
System Engineer Hardware ,Reliance-Communications,0-6yrs  ,"1,67,023",1.0,3.2,3.6,284
System Engineer ,TVS-Motor,0-10yrs  ,"2,15,566",10.0,7.2,4.1,281
IT Analyst ,TVS-Motor,3-11yrs  ,"11,92,359",2.7,22.8,4.1,281
AST Consultant ,TVS-Motor,6-15yrs  ,"2,12,374",20.0,10.1,4.1,281
Assistant System Engineer ,TVS-Motor,0-4yrs  ,"12,42,577",2.6,22.0,4.1,281
Associate Consultant ,TVS-Motor,4-21yrs  ,"14,81,841",7.5,21.0,4.1,281
Senior Process Associate ,TVS-Motor,0-11yrs  ,"12,37,090",4.6,20.0,4.1,281
Software Engineer ,TVS-Motor,0-8yrs  ,"2,62,303",15.0,20.0,4.1,281
Process Associate ,TVS-Motor,0-9yrs  ,"2,12,655",10.0,3.6,4.1,281
Software Developer ,TVS-Motor,0-9yrs  ,"3,56,231",10.0,9.0,4.1,281
System Engineer Hardware ,TVS-Motor,0-6yrs  ,"2,21,384",15.0,3.5,4.1,281
System Engineer ,BigBasket,0-10yrs  ,"3,37,005",2.0,4.8,3.9,278
IT Analyst ,BigBasket,3-11yrs  ,"3,51,028",1.5,5.1,3.9,278
AST Consultant ,BigBasket,6-15yrs  ,"3,62,457",2.2,5.5,3.9,278
Assistant System Engineer ,BigBasket,0-4yrs  ,"2,63,169",1.0,4.0,3.9,278
Associate Consultant ,BigBasket,4-21yrs  ,"2,54,696",1.0,4.0,3.9,278
Senior Process Associate ,BigBasket,0-11yrs  ,"5,53,718",3.0,8.0,3.9,278
Software Engineer ,BigBasket,0-8yrs  ,"3,52,981",1.8,5.0,3.9,278
Process Associate ,BigBasket,0-9yrs  ,"4,86,404",2.3,7.2,3.9,278
Software Developer ,BigBasket,0-9yrs  ,"3,86,661",2.2,4.9,3.9,278
System Engineer Hardware ,BigBasket,0-6yrs  ,"3,57,370",15.0,7.1,3.9,278
System Engineer ,Bosch,0-10yrs  ,"11,41,680",4.8,20.0,3.5,276
IT Analyst ,Bosch,3-11yrs  ,"9,28,510",3.0,22.0,3.5,276
AST Consultant ,Bosch,6-15yrs  ,"16,86,974",8.4,23.0,3.5,276
Assistant System Engineer ,Bosch,0-4yrs  ,"7,18,133",3.6,13.5,3.5,276
Associate Consultant ,Bosch,4-21yrs  ,"4,00,078",15.0,6.0,3.5,276
Senior Process Associate ,Bosch,0-11yrs  ,"6,22,313",4.0,9.0,3.5,276
Software Engineer ,Bosch,0-8yrs  ,"3,09,043",1.3,8.0,3.5,276
Process Associate ,Bosch,0-9yrs  ,"2,44,366",95.0,4.0,3.5,276
Software Developer ,Bosch,0-9yrs  ,"4,20,174",15.0,7.8,3.5,276
System Engineer Hardware ,Bosch,0-6yrs  ,"3,42,844",1.8,6.2,3.5,276
System Engineer ,Oyo-Rooms,0-10yrs  ,"8,28,057",2.5,14.0,4.4,274
IT Analyst ,Oyo-Rooms,3-11yrs  ,"6,76,312",2.7,9.0,4.4,274
AST Consultant ,Oyo-Rooms,6-15yrs  ,"3,20,459",1.0,10.0,4.4,274
Assistant System Engineer ,Oyo-Rooms,0-4yrs  ,"2,17,491",10.0,18.2,4.4,274
Associate Consultant ,Oyo-Rooms,4-21yrs  ,"4,27,113",1.1,6.2,4.4,274
Senior Process Associate ,Oyo-Rooms,0-11yrs  ,"7,44,377",2.6,12.1,4.4,274
Software Engineer ,Oyo-Rooms,0-8yrs  ,"6,50,057",3.0,10.6,4.4,274
Process Associate ,Oyo-Rooms,0-9yrs  ,"7,25,453",3.5,9.5,4.4,274
Software Developer ,Oyo-Rooms,0-9yrs  ,"9,42,792",4.2,17.0,4.4,274
System Engineer Hardware ,Oyo-Rooms,0-6yrs  ,"9,39,270",3.2,18.0,4.4,274
System Engineer ,Indiamart-Intermesh,0-10yrs  ,"3,03,819",18.0,6.5,3.4,271
IT Analyst ,Indiamart-Intermesh,3-11yrs  ,"6,17,790",3.0,9.3,3.4,271
AST Consultant ,Indiamart-Intermesh,6-15yrs  ,"3,70,661",2.0,4.6,3.4,271
Assistant System Engineer ,Indiamart-Intermesh,0-4yrs  ,"4,54,397",2.3,8.7,3.4,271
Associate Consultant ,Indiamart-Intermesh,4-21yrs  ,"3,66,389",2.0,5.8,3.4,271
Senior Process Associate ,Indiamart-Intermesh,0-11yrs  ,"4,41,072",2.7,6.0,3.4,271
Software Engineer ,Indiamart-Intermesh,0-8yrs  ,"4,90,184",2.2,7.2,3.4,271
Process Associate ,Indiamart-Intermesh,0-9yrs  ,"3,46,958",2.1,4.7,3.4,271
Software Developer ,Indiamart-Intermesh,0-9yrs  ,"12,86,644",5.0,20.0,3.4,271
System Engineer Hardware ,Indiamart-Intermesh,0-6yrs  ,"3,20,363",1.5,5.0,3.4,271
System Engineer ,Manappuram-Finance,0-10yrs  ,"2,10,902",10.0,12.2,4.0,269
IT Analyst ,Manappuram-Finance,3-11yrs  ,"3,14,396",60.0,5.1,4.0,269
AST Consultant ,Manappuram-Finance,6-15yrs  ,"2,49,324",75.0,5.0,4.0,269
Assistant System Engineer ,Manappuram-Finance,0-4yrs  ,"3,41,204",1.1,7.2,4.0,269
Associate Consultant ,Manappuram-Finance,4-21yrs  ,"2,74,188",1.0,4.8,4.0,269
Senior Process Associate ,Manappuram-Finance,0-11yrs  ,"2,44,748",1.2,3.5,4.0,269
Software Engineer ,Manappuram-Finance,0-8yrs  ,"2,71,185",1.1,4.2,4.0,269
Process Associate ,Manappuram-Finance,0-9yrs  ,"2,20,712",1.0,4.0,4.0,269
Software Developer ,Manappuram-Finance,0-9yrs  ,"4,98,978",2.6,6.5,4.0,269
System Engineer Hardware ,Manappuram-Finance,0-6yrs  ,"2,13,530",1.0,3.5,4.0,269
System Engineer ,Atos-Syntel,0-10yrs  ,"7,18,167",2.0,17.5,3.9,266
IT Analyst ,Atos-Syntel,3-11yrs  ,"6,24,347",2.0,20.1,3.9,266
AST Consultant ,Atos-Syntel,6-15yrs  ,"4,00,732",1.8,6.5,3.9,266
Assistant System Engineer ,Atos-Syntel,0-4yrs  ,"22,83,022",9.5,36.0,3.9,266
Associate Consultant ,Atos-Syntel,4-21yrs  ,"2,97,731",1.5,4.5,3.9,266
Senior Process Associate ,Atos-Syntel,0-11yrs  ,"6,50,905",2.3,14.0,3.9,266
Software Engineer ,Atos-Syntel,0-8yrs  ,"4,27,981",2.5,8.1,3.9,266
Process Associate ,Atos-Syntel,0-9yrs  ,"12,42,506",5.0,21.5,3.9,266
Software Developer ,Atos-Syntel,0-9yrs  ,"6,40,603",2.5,12.5,3.9,266
System Engineer Hardware ,Atos-Syntel,0-6yrs  ,"12,98,012",3.8,26.0,3.9,266
System Engineer ,Intelenet-Global-Services,0-10yrs  ,"2,10,494",10.0,15.0,4.2,264
IT Analyst ,Intelenet-Global-Services,3-11yrs  ,"1,94,093",10.0,11.0,4.2,264
AST Consultant ,Intelenet-Global-Services,6-15yrs  ,"2,72,246",1.1,5.6,4.2,264
Assistant System Engineer ,Intelenet-Global-Services,0-4yrs  ,"4,19,962",1.7,10.9,4.2,264
Associate Consultant ,Intelenet-Global-Services,4-21yrs  ,"2,15,314",15.0,13.0,4.2,264
Senior Process Associate ,Intelenet-Global-Services,0-11yrs  ,"3,84,513",1.4,6.8,4.2,264
Software Engineer ,Intelenet-Global-Services,0-8yrs  ,"2,84,594",1.0,5.0,4.2,264
Process Associate ,Intelenet-Global-Services,0-9yrs  ,"2,21,527",1.0,4.0,4.2,264
Software Developer ,Intelenet-Global-Services,0-9yrs  ,"2,66,060",1.2,4.6,4.2,264
System Engineer Hardware ,Intelenet-Global-Services,0-6yrs  ,"3,04,692",1.3,4.2,4.2,264
System Engineer ,Future-Group,0-10yrs  ,"2,29,262",90.0,5.5,4.7,262
IT Analyst ,Future-Group,3-11yrs  ,"4,02,854",2.0,7.0,4.7,262
AST Consultant ,Future-Group,6-15yrs  ,"1,67,917",60.0,9.2,4.7,262
Assistant System Engineer ,Future-Group,0-4yrs  ,"4,33,197",2.0,15.0,4.7,262
Associate Consultant ,Future-Group,4-21yrs  ,"1,70,728",25.0,12.1,4.7,262
Senior Process Associate ,Future-Group,0-11yrs  ,"4,89,034",2.0,10.5,4.7,262
Software Engineer ,Future-Group,0-8yrs  ,"3,30,147",1.3,4.4,4.7,262
Process Associate ,Future-Group,0-9yrs  ,"2,05,918",15.0,13.0,4.7,262
Software Developer ,Future-Group,0-9yrs  ,"9,49,982",2.9,18.2,4.7,262
System Engineer Hardware ,Future-Group,0-6yrs  ,"1,92,347",10.0,3.5,4.7,262
System Engineer ,BNY-Mellon,0-10yrs  ,"5,83,020",2.0,10.7,4.1,259
IT Analyst ,BNY-Mellon,3-11yrs  ,"7,76,469",2.8,19.5,4.1,259
AST Consultant ,BNY-Mellon,6-15yrs  ,"3,82,629",1.4,8.0,4.1,259
Assistant System Engineer ,BNY-Mellon,0-4yrs  ,"5,16,511",1.6,11.2,4.1,259
Associate Consultant ,BNY-Mellon,4-21yrs  ,"16,43,162",4.0,26.0,4.1,259
Senior Process Associate ,BNY-Mellon,0-11yrs  ,"3,80,288",2.8,6.1,4.1,259
Software Engineer ,BNY-Mellon,0-8yrs  ,"5,67,220",2.9,8.7,4.1,259
Process Associate ,BNY-Mellon,0-9yrs  ,"11,08,339",4.5,22.0,4.1,259
Software Developer ,BNY-Mellon,0-9yrs  ,"15,08,027",5.3,25.0,4.1,259
System Engineer Hardware ,BNY-Mellon,0-6yrs  ,"6,93,980",3.5,9.5,4.1,259
System Engineer ,Cummins,0-10yrs  ,"5,28,503",1.7,9.0,3.7,257
IT Analyst ,Cummins,3-11yrs  ,"6,32,729",2.0,10.1,3.7,257
AST Consultant ,Cummins,6-15yrs  ,"2,02,248",1.2,2.8,3.7,257
Assistant System Engineer ,Cummins,0-4yrs  ,"4,45,488",50.0,10.3,3.7,257
Associate Consultant ,Cummins,4-21yrs  ,"4,46,967",2.1,8.0,3.7,257
Senior Process Associate ,Cummins,0-11yrs  ,"21,35,528",12.5,27.2,3.7,257
Software Engineer ,Cummins,0-8yrs  ,"7,96,003",1.8,15.6,3.7,257
Process Associate ,Cummins,0-9yrs  ,"28,42,050",16.0,36.0,3.7,257
Software Developer ,Cummins,0-9yrs  ,"6,68,284",4.2,9.3,3.7,257
System Engineer Hardware ,Cummins,0-6yrs  ,"2,04,076",10.0,3.0,3.7,257
System Engineer ,Bosch-Global-Software-Technologies,0-10yrs  ,"11,35,692",4.0,23.0,4.2,256
IT Analyst ,Bosch-Global-Software-Technologies,3-11yrs  ,"7,66,709",3.0,14.0,4.2,256
AST Consultant ,Bosch-Global-Software-Technologies,6-15yrs  ,"11,85,024",3.2,21.0,4.2,256
Assistant System Engineer ,Bosch-Global-Software-Technologies,0-4yrs  ,"7,16,094",3.0,12.2,4.2,256
Associate Consultant ,Bosch-Global-Software-Technologies,4-21yrs  ,"8,09,608",2.6,14.0,4.2,256
Senior Process Associate ,Bosch-Global-Software-Technologies,0-11yrs  ,"18,52,609",8.5,27.4,4.2,256
Software Engineer ,Bosch-Global-Software-Technologies,0-8yrs  ,"15,93,748",7.8,22.3,4.2,256
Process Associate ,Bosch-Global-Software-Technologies,0-9yrs  ,"22,51,147",7.4,34.0,4.2,256
Software Developer ,Bosch-Global-Software-Technologies,0-9yrs  ,"6,95,100",3.0,15.6,4.2,256
System Engineer Hardware ,Bosch-Global-Software-Technologies,0-6yrs  ,"13,83,131",6.0,24.0,4.2,256
System Engineer ,Wipro-BPS,0-10yrs  ,"2,70,761",1.0,7.0,3.5,252
IT Analyst ,Wipro-BPS,3-11yrs  ,"5,06,198",1.2,8.4,3.5,252
AST Consultant ,Wipro-BPS,6-15yrs  ,"4,88,552",1.9,9.3,3.5,252
Assistant System Engineer ,Wipro-BPS,0-4yrs  ,"3,31,252",1.1,5.7,3.5,252
Associate Consultant ,Wipro-BPS,4-21yrs  ,"3,51,163",2.0,4.8,3.5,252
Senior Process Associate ,Wipro-BPS,0-11yrs  ,"2,02,480",1.0,3.6,3.5,252
Software Engineer ,Wipro-BPS,0-8yrs  ,"4,18,627",2.0,7.5,3.5,252
Process Associate ,Wipro-BPS,0-9yrs  ,"2,59,182",1.1,6.0,3.5,252
Software Developer ,Wipro-BPS,0-9yrs  ,"2,55,669",1.6,4.1,3.5,252
System Engineer Hardware ,Wipro-BPS,0-6yrs  ,"2,28,594",1.2,3.5,3.5,252
System Engineer ,IQVIA,0-10yrs  ,"4,06,421",1.1,6.4,3.3,250
IT Analyst ,IQVIA,3-11yrs  ,"7,31,338",2.0,10.5,3.3,250
AST Consultant ,IQVIA,6-15yrs  ,"10,56,776",4.9,18.3,3.3,250
Assistant System Engineer ,IQVIA,0-4yrs  ,"8,06,720",3.0,11.0,3.3,250
Associate Consultant ,IQVIA,4-21yrs  ,"8,48,545",3.0,16.0,3.3,250
Senior Process Associate ,IQVIA,0-11yrs  ,"10,19,549",3.5,19.0,3.3,250
Software Engineer ,IQVIA,0-8yrs  ,"19,98,155",6.5,34.5,3.3,250
Process Associate ,IQVIA,0-9yrs  ,"7,08,152",3.3,9.1,3.3,250
Software Developer ,IQVIA,0-9yrs  ,"20,05,687",8.0,31.0,3.3,250
System Engineer Hardware ,IQVIA,0-6yrs  ,"9,26,689",3.0,15.0,3.3,250
System Engineer ,Coforge,0-10yrs  ,"14,13,142",2.8,50.5,4.5,247
IT Analyst ,Coforge,3-11yrs  ,"22,80,672",5.7,38.0,4.5,247
AST Consultant ,Coforge,6-15yrs  ,"10,16,041",2.3,20.0,4.5,247
Assistant System Engineer ,Coforge,0-4yrs  ,"5,55,473",2.2,10.0,4.5,247
Associate Consultant ,Coforge,4-21yrs  ,"24,08,353",7.7,40.0,4.5,247
Senior Process Associate ,Coforge,0-11yrs  ,"5,79,561",2.0,17.0,4.5,247
Software Engineer ,Coforge,0-8yrs  ,"8,41,494",2.5,23.4,4.5,247
Process Associate ,Coforge,0-9yrs  ,"14,28,574",3.7,35.0,4.5,247
Software Developer ,Coforge,0-9yrs  ,"17,04,423",5.7,29.0,4.5,247
System Engineer Hardware ,Coforge,0-6yrs  ,"3,29,292",1.8,5.0,4.5,247
System Engineer ,Amdocs,0-10yrs  ,"10,45,630",3.2,21.0,4.6,245
IT Analyst ,Amdocs,3-11yrs  ,"8,96,387",3.0,18.5,4.6,245
AST Consultant ,Amdocs,6-15yrs  ,"6,53,626",2.0,15.1,4.6,245
Assistant System Engineer ,Amdocs,0-4yrs  ,"7,35,436",3.6,13.7,4.6,245
Associate Consultant ,Amdocs,4-21yrs  ,"5,82,397",2.5,9.0,4.6,245
Senior Process Associate ,Amdocs,0-11yrs  ,"7,48,124",2.0,16.0,4.6,245
Software Engineer ,Amdocs,0-8yrs  ,"21,43,527",9.3,30.0,4.6,245
Process Associate ,Amdocs,0-9yrs  ,"10,66,822",3.4,20.0,4.6,245
Software Developer ,Amdocs,0-9yrs  ,"7,69,814",3.2,14.0,4.6,245
System Engineer Hardware ,Amdocs,0-6yrs  ,"8,94,777",2.5,18.7,4.6,245
System Engineer ,Fullerton-India,0-10yrs  ,"4,67,746",1.4,10.0,4.0,243
IT Analyst ,Fullerton-India,3-11yrs  ,"4,61,550",1.9,11.1,4.0,243
AST Consultant ,Fullerton-India,6-15yrs  ,"5,72,554",1.7,12.4,4.0,243
Assistant System Engineer ,Fullerton-India,0-4yrs  ,"5,91,316",2.4,9.1,4.0,243
Associate Consultant ,Fullerton-India,4-21yrs  ,"3,80,070",2.0,6.6,4.0,243
Senior Process Associate ,Fullerton-India,0-11yrs  ,"8,69,703",2.2,15.1,4.0,243
Software Engineer ,Fullerton-India,0-8yrs  ,"3,07,559",1.9,4.5,4.0,243
Process Associate ,Fullerton-India,0-9yrs  ,"2,35,679",1.1,3.4,4.0,243
Software Developer ,Fullerton-India,0-9yrs  ,"2,38,079",1.3,3.4,4.0,243
System Engineer Hardware ,Fullerton-India,0-6yrs  ,"4,34,643",2.0,8.4,4.0,243
System Engineer ,Schneider-Electric,0-10yrs  ,"8,12,910",3.2,14.0,4.1,242
IT Analyst ,Schneider-Electric,3-11yrs  ,"5,97,893",3.4,12.0,4.1,242
AST Consultant ,Schneider-Electric,6-15yrs  ,"2,41,624",1.0,5.1,4.1,242
Assistant System Engineer ,Schneider-Electric,0-4yrs  ,"27,79,923",15.0,40.0,4.1,242
