Designation,Company,experience,average salary,minimum salary,maximum salary,ratings,reviews
Technical Support Engineer ,Hindustan-Petroleum,1-5yrs  ,"3,69,685",1.5,10.1,3.9,336
Maintenance Executive ,Hindustan-Petroleum,4-10yrs  ,"2,81,439",1.0,5.0,3.9,336
Elevator Technician ,Hindustan-Petroleum,3-10yrs  ,"4,48,542",1.9,9.5,3.9,336
Junior Process Agent ,Hindustan-Petroleum,1-5yrs  ,"2,98,822",1.0,7.5,3.9,336
Installation Engineer ,Hindustan-Petroleum,1-12yrs  ,"3,02,682",3.0,3.5,3.9,336
Design Engineer ,Barclays-Shared-Services,1-5yrs  ,"3,47,783",1.0,7.1,3.8,333
Senior Engineer ,Barclays-Shared-Services,4-8yrs  ,"26,15,185",12.5,39.0,3.8,333
Sales Engineer ,Barclays-Shared-Services,1-6yrs  ,"6,53,706",3.4,10.1,3.8,333
Senior Sales Engineer ,Barclays-Shared-Services,4-13yrs  ,"3,19,811",1.0,6.8,3.8,333
Process Agent ,Barclays-Shared-Services,4-7yrs  ,"7,35,183",2.5,16.4,3.8,333
Technical Support Engineer ,Barclays-Shared-Services,1-5yrs  ,"10,91,827",6.3,15.4,3.8,333
Maintenance Executive ,Barclays-Shared-Services,4-10yrs  ,"8,87,176",30.0,16.5,3.8,333
Elevator Technician ,Barclays-Shared-Services,3-10yrs  ,"5,08,495",3.5,6.6,3.8,333
Junior Process Agent ,Barclays-Shared-Services,1-5yrs  ,"6,07,546",3.0,8.4,3.8,333
Installation Engineer ,Barclays-Shared-Services,1-12yrs  ,"10,09,837",3.0,16.0,3.8,333
Design Engineer ,Globiva,1-5yrs  ,"3,27,536",1.6,5.4,3.6,330
Senior Engineer ,Globiva,4-8yrs  ,"2,33,371",1.0,4.4,3.6,330
Sales Engineer ,Globiva,1-6yrs  ,"2,23,742",1.0,3.5,3.6,330
Senior Sales Engineer ,Globiva,4-13yrs  ,"3,75,224",2.2,5.6,3.6,330
Process Agent ,Globiva,4-7yrs  ,"2,26,587",1.4,4.0,3.6,330
Technical Support Engineer ,Globiva,1-5yrs  ,"2,41,100",10.0,4.5,3.6,330
Maintenance Executive ,Globiva,4-10yrs  ,"2,39,596",1.2,4.2,3.6,330
Elevator Technician ,Globiva,3-10yrs  ,"2,33,505",1.0,3.5,3.6,330
Junior Process Agent ,Globiva,1-5yrs  ,"4,07,193",2.3,5.8,3.6,330
Installation Engineer ,Globiva,1-12yrs  ,"4,19,452",2.8,6.0,3.6,330
Design Engineer ,Relaxo-Footwear,1-5yrs  ,"4,20,760",2.4,6.1,4.0,326
Senior Engineer ,Relaxo-Footwear,4-8yrs  ,"10,87,228",4.0,18.0,4.0,326
Sales Engineer ,Relaxo-Footwear,1-6yrs  ,"5,07,669",3.4,6.5,4.0,326
Senior Sales Engineer ,Relaxo-Footwear,4-13yrs  ,"4,17,079",2.6,5.6,4.0,326
Process Agent ,Relaxo-Footwear,4-7yrs  ,"2,74,760",1.8,3.5,4.0,326
Technical Support Engineer ,Relaxo-Footwear,1-5yrs  ,"3,19,624",1.2,5.3,4.0,326
Maintenance Executive ,Relaxo-Footwear,4-10yrs  ,"3,31,208",1.8,5.0,4.0,326
Elevator Technician ,Relaxo-Footwear,3-10yrs  ,"2,29,087",1.5,3.1,4.0,326
Junior Process Agent ,Relaxo-Footwear,1-5yrs  ,"2,70,125",1.5,4.1,4.0,326
Installation Engineer ,Relaxo-Footwear,1-12yrs  ,"4,14,802",3.0,4.8,4.0,326
Design Engineer ,TATA-Power,1-5yrs  ,"6,97,080",2.5,16.0,4.0,323
Senior Engineer ,TATA-Power,4-8yrs  ,"9,34,372",4.5,18.0,4.0,323
Sales Engineer ,TATA-Power,1-6yrs  ,"10,47,184",3.4,18.0,4.0,323
Senior Sales Engineer ,TATA-Power,4-13yrs  ,"4,15,709",1.8,9.8,4.0,323
Process Agent ,TATA-Power,4-7yrs  ,"3,63,426",3.0,6.0,4.0,323
Technical Support Engineer ,TATA-Power,1-5yrs  ,"10,23,119",6.0,13.0,4.0,323
Maintenance Executive ,TATA-Power,4-10yrs  ,"4,13,487",2.0,7.0,4.0,323
Elevator Technician ,TATA-Power,3-10yrs  ,"16,89,941",8.2,29.0,4.0,323
Junior Process Agent ,TATA-Power,1-5yrs  ,"4,46,229",2.5,7.1,4.0,323
Installation Engineer ,TATA-Power,1-12yrs  ,"6,65,831",4.2,10.0,4.0,323
Design Engineer ,Tata-Capital,1-5yrs  ,"6,48,444",2.8,12.5,4.8,321
Senior Engineer ,Tata-Capital,4-8yrs  ,"8,26,125",3.6,15.0,4.8,321
Sales Engineer ,Tata-Capital,1-6yrs  ,"2,68,688",1.5,3.9,4.8,321
Senior Sales Engineer ,Tata-Capital,4-13yrs  ,"2,67,388",1.2,3.3,4.8,321
Process Agent ,Tata-Capital,4-7yrs  ,"2,54,318",1.5,3.7,4.8,321
Technical Support Engineer ,Tata-Capital,1-5yrs  ,"7,53,413",2.1,16.3,4.8,321
Maintenance Executive ,Tata-Capital,4-10yrs  ,"6,05,580",3.5,10.5,4.8,321
Elevator Technician ,Tata-Capital,3-10yrs  ,"7,20,146",3.7,11.0,4.8,321
Junior Process Agent ,Tata-Capital,1-5yrs  ,"2,38,787",1.4,3.6,4.8,321
Installation Engineer ,Tata-Capital,1-12yrs  ,"3,10,158",2.0,4.1,4.8,321
Design Engineer ,HCL-Technologies-BPO-Services,1-5yrs  ,"3,61,667",1.7,5.7,3.3,318
Senior Engineer ,HCL-Technologies-BPO-Services,4-8yrs  ,"4,88,987",2.1,9.0,3.3,318
Sales Engineer ,HCL-Technologies-BPO-Services,1-6yrs  ,"2,27,284",1.3,4.0,3.3,318
Senior Sales Engineer ,HCL-Technologies-BPO-Services,4-13yrs  ,"2,84,619",1.4,4.5,3.3,318
Process Agent ,HCL-Technologies-BPO-Services,4-7yrs  ,"2,08,923",1.0,3.0,3.3,318
Technical Support Engineer ,HCL-Technologies-BPO-Services,1-5yrs  ,"2,60,665",1.5,4.6,3.3,318
Maintenance Executive ,HCL-Technologies-BPO-Services,4-10yrs  ,"2,78,634",1.2,4.4,3.3,318
Elevator Technician ,HCL-Technologies-BPO-Services,3-10yrs  ,"4,24,288",2.5,8.0,3.3,318
Junior Process Agent ,HCL-Technologies-BPO-Services,1-5yrs  ,"5,49,749",2.4,8.0,3.3,318
Installation Engineer ,HCL-Technologies-BPO-Services,1-12yrs  ,"2,05,183",1.3,3.0,3.3,318
Design Engineer ,Trident-Group,1-5yrs  ,"8,88,264",5.0,12.0,3.8,315
Senior Engineer ,Trident-Group,4-8yrs  ,"21,98,090",9.0,36.0,3.8,315
Sales Engineer ,Trident-Group,1-6yrs  ,"14,19,747",9.0,21.0,3.8,315
Senior Sales Engineer ,Trident-Group,4-13yrs  ,"8,09,138",3.5,12.0,3.8,315
Process Agent ,Trident-Group,4-7yrs  ,"9,66,096",45.0,18.0,3.8,315
Technical Support Engineer ,Trident-Group,1-5yrs  ,"10,56,219",6.0,15.0,3.8,315
Maintenance Executive ,Trident-Group,4-10yrs  ,"6,01,037",2.0,9.0,3.8,315
Elevator Technician ,Trident-Group,3-10yrs  ,"14,71,282",9.0,18.0,3.8,315
Junior Process Agent ,Trident-Group,1-5yrs  ,"2,00,806",1.3,3.0,3.8,315
Installation Engineer ,Trident-Group,1-12yrs  ,"12,15,625",9.0,15.0,3.8,315
Design Engineer ,Narayana-Educational-Society,1-5yrs  ,"2,78,339",20.0,15.8,4.0,312
Senior Engineer ,Narayana-Educational-Society,4-8yrs  ,"3,45,741",1.0,10.0,4.0,312
Sales Engineer ,Narayana-Educational-Society,1-6yrs  ,"12,64,048",2.4,30.9,4.0,312
Senior Sales Engineer ,Narayana-Educational-Society,4-13yrs  ,"3,90,958",1.6,6.0,4.0,312
Process Agent ,Narayana-Educational-Society,4-7yrs  ,"3,31,274",1.8,5.0,4.0,312
Technical Support Engineer ,Narayana-Educational-Society,1-5yrs  ,"2,24,220",15.0,3.6,4.0,312
Maintenance Executive ,Narayana-Educational-Society,4-10yrs  ,"6,82,573",3.4,10.4,4.0,312
Elevator Technician ,Narayana-Educational-Society,3-10yrs  ,"8,18,186",1.0,21.0,4.0,312
Junior Process Agent ,Narayana-Educational-Society,1-5yrs  ,"9,03,528",3.0,19.2,4.0,312
Installation Engineer ,Narayana-Educational-Society,1-12yrs  ,"2,81,042",1.0,4.5,4.0,312
Design Engineer ,Lumax-Industries,1-5yrs  ,"2,71,803",1.5,4.0,3.9,306
Senior Engineer ,Lumax-Industries,4-8yrs  ,"5,13,947",2.8,7.5,3.9,306
Sales Engineer ,Lumax-Industries,1-6yrs  ,"2,74,193",1.2,4.5,3.9,306
Senior Sales Engineer ,Lumax-Industries,4-13yrs  ,"3,36,987",1.8,4.8,3.9,306
Process Agent ,Lumax-Industries,4-7yrs  ,"2,27,580",1.4,3.0,3.9,306
Technical Support Engineer ,Lumax-Industries,1-5yrs  ,"9,47,139",6.3,13.0,3.9,306
Maintenance Executive ,Lumax-Industries,4-10yrs  ,"2,09,949",90.0,3.0,3.9,306
Elevator Technician ,Lumax-Industries,3-10yrs  ,"2,83,225",1.3,3.8,3.9,306
Junior Process Agent ,Lumax-Industries,1-5yrs  ,"2,05,438",1.1,3.2,3.9,306
Installation Engineer ,Lumax-Industries,1-12yrs  ,"2,22,165",1.4,3.0,3.9,306
Design Engineer ,ISS-Facility-Services,1-5yrs  ,"3,71,041",2.1,5.5,3.9,302
Senior Engineer ,ISS-Facility-Services,4-8yrs  ,"5,45,291",3.3,8.0,3.9,302
Sales Engineer ,ISS-Facility-Services,1-6yrs  ,"1,88,370",10.0,3.3,3.9,302
Senior Sales Engineer ,ISS-Facility-Services,4-13yrs  ,"2,47,955",1.5,3.2,3.9,302
Process Agent ,ISS-Facility-Services,4-7yrs  ,"7,67,489",3.1,11.1,3.9,302
Technical Support Engineer ,ISS-Facility-Services,1-5yrs  ,"2,71,629",1.8,3.6,3.9,302
Maintenance Executive ,ISS-Facility-Services,4-10yrs  ,"3,61,760",2.3,4.7,3.9,302
Elevator Technician ,ISS-Facility-Services,3-10yrs  ,"4,05,815",3.0,5.0,3.9,302
Junior Process Agent ,ISS-Facility-Services,1-5yrs  ,"4,19,761",2.5,5.2,3.9,302
Installation Engineer ,ISS-Facility-Services,1-12yrs  ,"2,79,101",2.0,3.8,3.9,302
Design Engineer ,Pantaloons,1-5yrs  ,"3,83,148",1.6,6.0,4.0,298
Senior Engineer ,Pantaloons,4-8yrs  ,"8,95,291",4.2,15.5,4.0,298
Sales Engineer ,Pantaloons,1-6yrs  ,"1,67,175",20.0,13.2,4.0,298
Senior Sales Engineer ,Pantaloons,4-13yrs  ,"1,38,760",10.0,8.2,4.0,298
Process Agent ,Pantaloons,4-7yrs  ,"2,59,399",1.1,4.1,4.0,298
Technical Support Engineer ,Pantaloons,1-5yrs  ,"1,87,903",50.0,3.5,4.0,298
Maintenance Executive ,Pantaloons,4-10yrs  ,"1,84,709",80.0,4.5,4.0,298
Elevator Technician ,Pantaloons,3-10yrs  ,"3,22,191",1.1,7.0,4.0,298
Junior Process Agent ,Pantaloons,1-5yrs  ,"7,92,952",5.4,10.8,4.0,298
Installation Engineer ,Pantaloons,1-12yrs  ,"2,44,775",1.0,3.9,4.0,298
Design Engineer ,Star-Union-Dai-ichi-Life-Insurance,1-5yrs  ,"3,62,712",2.2,5.2,3.7,296
Senior Engineer ,Star-Union-Dai-ichi-Life-Insurance,4-8yrs  ,"2,95,922",2.0,4.4,3.7,296
Sales Engineer ,Star-Union-Dai-ichi-Life-Insurance,1-6yrs  ,"4,03,160",2.8,5.2,3.7,296
Senior Sales Engineer ,Star-Union-Dai-ichi-Life-Insurance,4-13yrs  ,"2,83,981",2.2,3.6,3.7,296
Process Agent ,Star-Union-Dai-ichi-Life-Insurance,4-7yrs  ,"6,87,385",4.2,10.0,3.7,296
Technical Support Engineer ,Star-Union-Dai-ichi-Life-Insurance,1-5yrs  ,"3,48,805",2.4,4.5,3.7,296
Maintenance Executive ,Star-Union-Dai-ichi-Life-Insurance,4-10yrs  ,"3,21,664",1.7,4.7,3.7,296
Elevator Technician ,Star-Union-Dai-ichi-Life-Insurance,3-10yrs  ,"6,68,238",4.8,13.8,3.7,296
Junior Process Agent ,Star-Union-Dai-ichi-Life-Insurance,1-5yrs  ,"2,52,416",1.7,3.2,3.7,296
Installation Engineer ,Star-Union-Dai-ichi-Life-Insurance,1-12yrs  ,"5,15,697",2.1,9.0,3.7,296
Design Engineer ,IDC-Technologies,1-5yrs  ,"3,52,173",1.8,5.4,4.1,293
Senior Engineer ,IDC-Technologies,4-8yrs  ,"3,83,832",1.7,6.2,4.1,293
Sales Engineer ,IDC-Technologies,1-6yrs  ,"4,67,168",2.8,7.2,4.1,293
Senior Sales Engineer ,IDC-Technologies,4-13yrs  ,"5,42,187",2.8,9.0,4.1,293
Process Agent ,IDC-Technologies,4-7yrs  ,"6,78,457",2.7,11.0,4.1,293
Technical Support Engineer ,IDC-Technologies,1-5yrs  ,"8,29,343",4.5,15.7,4.1,293
Maintenance Executive ,IDC-Technologies,4-10yrs  ,"2,51,986",1.0,3.6,4.1,293
Elevator Technician ,IDC-Technologies,3-10yrs  ,"6,15,677",3.0,12.0,4.1,293
Junior Process Agent ,IDC-Technologies,1-5yrs  ,"4,50,511",1.8,7.5,4.1,293
Installation Engineer ,IDC-Technologies,1-12yrs  ,"6,98,684",3.2,13.5,4.1,293
Design Engineer ,Toyota-Kirloskar-Motor,1-5yrs  ,"12,70,280",5.0,22.0,2.6,291
Senior Engineer ,Toyota-Kirloskar-Motor,4-8yrs  ,"6,04,457",1.8,11.0,2.6,291
Sales Engineer ,Toyota-Kirloskar-Motor,1-6yrs  ,"5,41,822",3.0,7.4,2.6,291
Senior Sales Engineer ,Toyota-Kirloskar-Motor,4-13yrs  ,"2,80,455",1.9,3.8,2.6,291
Process Agent ,Toyota-Kirloskar-Motor,4-7yrs  ,"36,37,595",20.0,45.0,2.6,291
Technical Support Engineer ,Toyota-Kirloskar-Motor,1-5yrs  ,"2,19,332",1.5,3.2,2.6,291
Maintenance Executive ,Toyota-Kirloskar-Motor,4-10yrs  ,"4,12,653",1.0,11.0,2.6,291
Elevator Technician ,Toyota-Kirloskar-Motor,3-10yrs  ,"14,29,340",9.3,22.5,2.6,291
Junior Process Agent ,Toyota-Kirloskar-Motor,1-5yrs  ,"3,87,268",3.0,5.6,2.6,291
Installation Engineer ,Toyota-Kirloskar-Motor,1-12yrs  ,"13,76,080",10.0,17.9,2.6,291
Design Engineer ,Fabindia,1-5yrs  ,"5,40,049",2.2,9.5,4.3,288
Senior Engineer ,Fabindia,4-8yrs  ,"3,75,372",2.1,5.0,4.3,288
Sales Engineer ,Fabindia,1-6yrs  ,"2,44,268",1.2,3.2,4.3,288
Senior Sales Engineer ,Fabindia,4-13yrs  ,"2,35,797",1.0,6.2,4.3,288
Process Agent ,Fabindia,4-7yrs  ,"2,37,358",1.2,3.1,4.3,288
Technical Support Engineer ,Fabindia,1-5yrs  ,"2,50,642",1.5,3.4,4.3,288
Maintenance Executive ,Fabindia,4-10yrs  ,"2,62,007",1.7,4.0,4.3,288
Elevator Technician ,Fabindia,3-10yrs  ,"4,67,964",2.4,8.0,4.3,288
Junior Process Agent ,Fabindia,1-5yrs  ,"2,56,459",1.5,3.5,4.3,288
Installation Engineer ,Fabindia,1-12yrs  ,"4,34,826",2.8,6.0,4.3,288
Design Engineer ,Tata-Group,1-5yrs  ,"12,66,281",3.5,29.0,3.8,286
Senior Engineer ,Tata-Group,4-8yrs  ,"7,73,232",3.9,14.0,3.8,286
Sales Engineer ,Tata-Group,1-6yrs  ,"14,55,485",3.1,30.0,3.8,286
Senior Sales Engineer ,Tata-Group,4-13yrs  ,"19,47,998",9.0,37.5,3.8,286
Process Agent ,Tata-Group,4-7yrs  ,"9,38,060",4.5,21.0,3.8,286
Technical Support Engineer ,Tata-Group,1-5yrs  ,"20,09,305",6.0,42.0,3.8,286
Maintenance Executive ,Tata-Group,4-10yrs  ,"12,23,750",2.1,25.0,3.8,286
Elevator Technician ,Tata-Group,3-10yrs  ,"12,74,418",4.6,25.0,3.8,286
Junior Process Agent ,Tata-Group,1-5yrs  ,"2,90,455",1.5,4.8,3.8,286
Installation Engineer ,Tata-Group,1-12yrs  ,"4,36,836",2.4,8.5,3.8,286
Design Engineer ,Ocwen-Financial-Solutions,1-5yrs  ,"6,07,220",3.0,7.8,3.2,284
Senior Engineer ,Ocwen-Financial-Solutions,4-8yrs  ,"10,01,584",4.5,18.0,3.2,284
Sales Engineer ,Ocwen-Financial-Solutions,1-6yrs  ,"4,94,863",1.8,6.5,3.2,284
Senior Sales Engineer ,Ocwen-Financial-Solutions,4-13yrs  ,"6,19,243",3.6,11.0,3.2,284
Process Agent ,Ocwen-Financial-Solutions,4-7yrs  ,"4,70,234",2.9,6.6,3.2,284
Technical Support Engineer ,Ocwen-Financial-Solutions,1-5yrs  ,"4,83,455",3.0,6.7,3.2,284
Maintenance Executive ,Ocwen-Financial-Solutions,4-10yrs  ,"3,27,171",1.7,4.5,3.2,284
Elevator Technician ,Ocwen-Financial-Solutions,3-10yrs  ,"9,03,574",4.9,11.5,3.2,284
Junior Process Agent ,Ocwen-Financial-Solutions,1-5yrs  ,"5,42,593",4.0,6.0,3.2,284
Installation Engineer ,Ocwen-Financial-Solutions,1-12yrs  ,"8,61,960",5.3,12.0,3.2,284
Design Engineer ,Daikin,1-5yrs  ,"3,31,544",2.1,4.5,4.1,281
Senior Engineer ,Daikin,4-8yrs  ,"4,60,111",2.9,6.3,4.1,281
Sales Engineer ,Daikin,1-6yrs  ,"2,23,014",1.6,3.5,4.1,281
Senior Sales Engineer ,Daikin,4-13yrs  ,"2,36,506",10.0,15.0,4.1,281
Process Agent ,Daikin,4-7yrs  ,"4,99,535",3.0,7.2,4.1,281
Technical Support Engineer ,Daikin,1-5yrs  ,"15,70,675",9.1,20.2,4.1,281
Maintenance Executive ,Daikin,4-10yrs  ,"8,48,048",5.0,10.5,4.1,281
Elevator Technician ,Daikin,3-10yrs  ,"3,43,204",1.5,6.6,4.1,281
Junior Process Agent ,Daikin,1-5yrs  ,"2,25,131",1.2,4.5,4.1,281
Installation Engineer ,Daikin,1-12yrs  ,"3,48,523",2.0,5.8,4.1,281
Design Engineer ,BNP-Paribas,1-5yrs  ,"7,96,443",2.4,17.7,3.5,276
Senior Engineer ,BNP-Paribas,4-8yrs  ,"4,61,560",2.0,7.3,3.5,276
Sales Engineer ,BNP-Paribas,1-6yrs  ,"14,01,630",6.5,22.0,3.5,276
Senior Sales Engineer ,BNP-Paribas,4-13yrs  ,"21,38,319",8.4,32.0,3.5,276
Process Agent ,BNP-Paribas,4-7yrs  ,"8,60,196",4.0,13.0,3.5,276
Technical Support Engineer ,BNP-Paribas,1-5yrs  ,"7,38,644",3.2,12.8,3.5,276
Maintenance Executive ,BNP-Paribas,4-10yrs  ,"11,53,919",3.8,21.5,3.5,276
Elevator Technician ,BNP-Paribas,3-10yrs  ,"11,63,284",6.0,18.0,3.5,276
Junior Process Agent ,BNP-Paribas,1-5yrs  ,"23,98,916",10.0,42.0,3.5,276
Installation Engineer ,BNP-Paribas,1-12yrs  ,"17,74,810",8.0,25.5,3.5,276
Design Engineer ,VLCC,1-5yrs  ,"2,61,319",1.0,6.0,4.4,274
Senior Engineer ,VLCC,4-8yrs  ,"3,49,987",2.0,4.8,4.4,274
Sales Engineer ,VLCC,1-6yrs  ,"4,14,183",15.0,7.0,4.4,274
Senior Sales Engineer ,VLCC,4-13yrs  ,"3,65,518",2.3,5.0,4.4,274
Process Agent ,VLCC,4-7yrs  ,"5,85,238",3.0,9.5,4.4,274
Technical Support Engineer ,VLCC,1-5yrs  ,"7,22,971",3.0,12.6,4.4,274
Maintenance Executive ,VLCC,4-10yrs  ,"2,43,681",35.0,17.0,4.4,274
Elevator Technician ,VLCC,3-10yrs  ,"6,32,355",3.9,9.0,4.4,274
Junior Process Agent ,VLCC,1-5yrs  ,"3,34,558",1.8,5.1,4.4,274
Installation Engineer ,VLCC,1-12yrs  ,"4,05,637",2.0,5.6,4.4,274
Design Engineer ,Morgan-Stanley,1-5yrs  ,"13,82,232",4.5,40.0,3.5,271
Senior Engineer ,Morgan-Stanley,4-8yrs  ,"7,29,559",2.5,17.5,3.5,271
Sales Engineer ,Morgan-Stanley,1-6yrs  ,"22,78,350",8.2,37.8,3.5,271
Senior Sales Engineer ,Morgan-Stanley,4-13yrs  ,"24,95,526",8.0,43.5,3.5,271
Process Agent ,Morgan-Stanley,4-7yrs  ,"7,10,553",2.8,12.3,3.5,271
Technical Support Engineer ,Morgan-Stanley,1-5yrs  ,"10,76,321",5.0,15.5,3.5,271
Maintenance Executive ,Morgan-Stanley,4-10yrs  ,"6,80,469",3.5,11.0,3.5,271
Elevator Technician ,Morgan-Stanley,3-10yrs  ,"16,70,477",6.0,30.0,3.5,271
Junior Process Agent ,Morgan-Stanley,1-5yrs  ,"25,92,930",12.0,37.0,3.5,271
Installation Engineer ,Morgan-Stanley,1-12yrs  ,"24,18,167",15.0,37.2,3.5,271
Design Engineer ,Aircel,1-5yrs  ,"3,73,559",2.2,7.1,4.0,269
Senior Engineer ,Aircel,4-8yrs  ,"10,00,915",6.0,13.0,4.0,269
Sales Engineer ,Aircel,1-6yrs  ,"3,01,355",1.2,6.2,4.0,269
Senior Sales Engineer ,Aircel,4-13yrs  ,"2,04,326",60.0,5.5,4.0,269
Process Agent ,Aircel,4-7yrs  ,"21,34,743",17.1,30.0,4.0,269
Technical Support Engineer ,Aircel,1-5yrs  ,"14,65,822",8.5,19.0,4.0,269
Maintenance Executive ,Aircel,4-10yrs  ,"2,04,004",1.8,2.8,4.0,269
Elevator Technician ,Aircel,3-10yrs  ,"8,85,996",7.2,11.0,4.0,269
Junior Process Agent ,Aircel,1-5yrs  ,"2,82,205",1.6,4.4,4.0,269
Installation Engineer ,Aircel,1-12yrs  ,"4,03,043",2.5,5.5,4.0,269
Design Engineer ,Satin-Creditcare-Network,1-5yrs  ,"3,29,651",2.1,4.3,3.9,266
Senior Engineer ,Satin-Creditcare-Network,4-8yrs  ,"5,46,803",3.5,7.5,3.9,266
Sales Engineer ,Satin-Creditcare-Network,1-6yrs  ,"2,19,638",1.0,15.0,3.9,266
Senior Sales Engineer ,Satin-Creditcare-Network,4-13yrs  ,"1,94,233",1.2,3.0,3.9,266
Process Agent ,Satin-Creditcare-Network,4-7yrs  ,"2,64,861",1.9,3.6,3.9,266
Technical Support Engineer ,Satin-Creditcare-Network,1-5yrs  ,"4,44,385",3.4,5.6,3.9,266
Maintenance Executive ,Satin-Creditcare-Network,4-10yrs  ,"3,49,426",2.9,4.3,3.9,266
Elevator Technician ,Satin-Creditcare-Network,3-10yrs  ,"2,21,344",1.9,3.3,3.9,266
Junior Process Agent ,Satin-Creditcare-Network,1-5yrs  ,"3,71,512",2.1,4.8,3.9,266
Installation Engineer ,Satin-Creditcare-Network,1-12yrs  ,"9,11,319",6.5,12.0,3.9,266
Design Engineer ,Welspun,1-5yrs  ,"3,74,625",2.7,5.3,4.2,264
Senior Engineer ,Welspun,4-8yrs  ,"5,33,646",3.7,6.9,4.2,264
Sales Engineer ,Welspun,1-6yrs  ,"22,22,272",15.5,28.7,4.2,264
Senior Sales Engineer ,Welspun,4-13yrs  ,"6,72,137",4.5,8.8,4.2,264
Process Agent ,Welspun,4-7yrs  ,"11,62,904",6.0,17.5,4.2,264
Technical Support Engineer ,Welspun,1-5yrs  ,"6,79,500",2.8,12.5,4.2,264
Maintenance Executive ,Welspun,4-10yrs  ,"2,43,419",2.0,3.1,4.2,264
Elevator Technician ,Welspun,3-10yrs  ,"3,35,136",3.0,3.8,4.2,264
Junior Process Agent ,Welspun,1-5yrs  ,"3,30,828",1.9,5.1,4.2,264
Installation Engineer ,Welspun,1-12yrs  ,"3,81,963",2.1,5.4,4.2,264
Design Engineer ,Aadhar-Housing-Finance,1-5yrs  ,"4,55,195",2.7,6.5,4.7,262
Senior Engineer ,Aadhar-Housing-Finance,4-8yrs  ,"4,42,863",2.5,6.5,4.7,262
Sales Engineer ,Aadhar-Housing-Finance,1-6yrs  ,"4,46,251",2.5,6.8,4.7,262
Senior Sales Engineer ,Aadhar-Housing-Finance,4-13yrs  ,"2,87,652",1.8,4.6,4.7,262
Process Agent ,Aadhar-Housing-Finance,4-7yrs  ,"2,32,438",1.4,3.5,4.7,262
Technical Support Engineer ,Aadhar-Housing-Finance,1-5yrs  ,"8,25,175",4.6,11.7,4.7,262
Maintenance Executive ,Aadhar-Housing-Finance,4-10yrs  ,"3,98,761",1.8,6.3,4.7,262
Elevator Technician ,Aadhar-Housing-Finance,3-10yrs  ,"3,84,168",2.5,5.6,4.7,262
Junior Process Agent ,Aadhar-Housing-Finance,1-5yrs  ,"1,82,557",10.0,3.0,4.7,262
Installation Engineer ,Aadhar-Housing-Finance,1-12yrs  ,"4,58,272",3.0,6.1,4.7,262
Design Engineer ,Haldiram-Foods,1-5yrs  ,"4,09,395",1.8,6.8,3.8,260
Senior Engineer ,Haldiram-Foods,4-8yrs  ,"9,61,051",3.2,16.8,3.8,260
Sales Engineer ,Haldiram-Foods,1-6yrs  ,"2,86,359",1.9,4.2,3.8,260
Senior Sales Engineer ,Haldiram-Foods,4-13yrs  ,"2,34,402",48.0,6.0,3.8,260
Process Agent ,Haldiram-Foods,4-7yrs  ,"4,85,404",2.4,6.5,3.8,260
Technical Support Engineer ,Haldiram-Foods,1-5yrs  ,"1,70,182",10.0,3.5,3.8,260
Maintenance Executive ,Haldiram-Foods,4-10yrs  ,"2,25,337",25.0,10.1,3.8,260
Elevator Technician ,Haldiram-Foods,3-10yrs  ,"2,73,557",1.6,4.5,3.8,260
Junior Process Agent ,Haldiram-Foods,1-5yrs  ,"3,31,645",2.5,4.1,3.8,260
Installation Engineer ,Haldiram-Foods,1-12yrs  ,"2,84,508",1.3,3.8,3.8,260
Design Engineer ,Suguna-Foods,1-5yrs  ,"2,46,886",1.3,3.7,4.3,259
Senior Engineer ,Suguna-Foods,4-8yrs  ,"3,14,971",2.1,3.6,4.3,259
Sales Engineer ,Suguna-Foods,1-6yrs  ,"2,37,833",1.5,3.5,4.3,259
Senior Sales Engineer ,Suguna-Foods,4-13yrs  ,"1,89,265",1.0,11.1,4.3,259
Process Agent ,Suguna-Foods,4-7yrs  ,"3,00,017",1.5,4.2,4.3,259
Technical Support Engineer ,Suguna-Foods,1-5yrs  ,"2,43,902",1.5,3.3,4.3,259
Maintenance Executive ,Suguna-Foods,4-10yrs  ,"2,38,592",1.2,3.9,4.3,259
Elevator Technician ,Suguna-Foods,3-10yrs  ,"2,84,222",1.9,3.3,4.3,259
Junior Process Agent ,Suguna-Foods,1-5yrs  ,"2,38,791",1.1,3.7,4.3,259
Installation Engineer ,Suguna-Foods,1-12yrs  ,"2,42,094",1.7,3.3,4.3,259
Design Engineer ,Bajaj-Capital,1-5yrs  ,"4,35,874",2.1,6.0,3.7,257
Senior Engineer ,Bajaj-Capital,4-8yrs  ,"5,15,498",2.5,7.0,3.7,257
Sales Engineer ,Bajaj-Capital,1-6yrs  ,"2,06,330",1.0,5.2,3.7,257
Senior Sales Engineer ,Bajaj-Capital,4-13yrs  ,"1,99,788",1.1,3.2,3.7,257
Process Agent ,Bajaj-Capital,4-7yrs  ,"3,22,606",1.8,4.7,3.7,257
Technical Support Engineer ,Bajaj-Capital,1-5yrs  ,"1,76,279",1.0,3.0,3.7,257
Maintenance Executive ,Bajaj-Capital,4-10yrs  ,"2,52,063",1.1,4.5,3.7,257
Elevator Technician ,Bajaj-Capital,3-10yrs  ,"2,38,713",1.7,3.6,3.7,257
