Designation,Company,experience,average salary,minimum salary,maximum salary,ratings,reviews
Deputy Manager ,Aspire-Systems,8-16yrs  ,"8,39,741",4.0,16.0,4.2,390
Junior Production Officer ,Aspire-Systems,1-3yrs  ,"6,40,569",3.0,10.5,4.2,390
Process Engineer ,Aspire-Systems,1-7yrs  ,"8,29,973",5.5,11.0,4.2,390
EHS Officer ,Aspire-Systems,1-7yrs  ,"5,62,595",3.3,7.5,4.2,390
Officer ,Otis-Elevator,1-7yrs  ,"4,35,781",2.7,6.0,3.5,380
Junior Officer ,Otis-Elevator,1-5yrs  ,"3,90,421",70.0,9.5,3.5,380
Production Officer ,Otis-Elevator,1-6yrs  ,"6,17,029",3.0,9.2,3.5,380
Executive Production ,Otis-Elevator,5-13yrs  ,"3,25,569",35.0,10.1,3.5,380
QC Officer ,Otis-Elevator,1-6yrs  ,"4,81,226",1.4,7.6,3.5,380
Scientist 1 ,Otis-Elevator,2-6yrs  ,"7,07,461",3.6,9.5,3.5,380
Deputy Manager ,Otis-Elevator,8-16yrs  ,"5,81,972",4.1,7.5,3.5,380
Junior Production Officer ,Otis-Elevator,1-3yrs  ,"6,67,590",4.5,8.3,3.5,380
Process Engineer ,Otis-Elevator,1-7yrs  ,"7,77,835",5.4,11.4,3.5,380
EHS Officer ,Otis-Elevator,1-7yrs  ,"5,11,243",2.9,7.1,3.5,380
Officer ,More-Supermarket,1-7yrs  ,"4,26,558",2.5,6.1,3.8,376
Junior Officer ,More-Supermarket,1-5yrs  ,"4,23,941",2.3,5.8,3.8,376
Production Officer ,More-Supermarket,1-6yrs  ,"1,53,901",60.0,3.3,3.8,376
Executive Production ,More-Supermarket,5-13yrs  ,"3,14,687",2.1,4.9,3.8,376
QC Officer ,More-Supermarket,1-6yrs  ,"9,47,234",4.5,13.0,3.8,376
Scientist 1 ,More-Supermarket,2-6yrs  ,"2,25,071",1.1,3.6,3.8,376
Deputy Manager ,More-Supermarket,8-16yrs  ,"2,43,331",1.2,3.7,3.8,376
Junior Production Officer ,More-Supermarket,1-3yrs  ,"18,96,922",7.1,28.2,3.8,376
Process Engineer ,More-Supermarket,1-7yrs  ,"2,89,702",1.5,4.3,3.8,376
EHS Officer ,More-Supermarket,1-7yrs  ,"2,00,440",25.0,10.0,3.8,376
Officer ,Medusind-Solutions,1-7yrs  ,"2,78,745",1.4,4.8,3.5,373
Junior Officer ,Medusind-Solutions,1-5yrs  ,"3,43,493",1.7,4.5,3.5,373
Production Officer ,Medusind-Solutions,1-6yrs  ,"2,85,698",1.1,3.9,3.5,373
Executive Production ,Medusind-Solutions,5-13yrs  ,"4,10,475",1.0,6.5,3.5,373
QC Officer ,Medusind-Solutions,1-6yrs  ,"2,22,080",95.0,3.5,3.5,373
Scientist 1 ,Medusind-Solutions,2-6yrs  ,"2,63,369",1.8,3.5,3.5,373
Deputy Manager ,Medusind-Solutions,8-16yrs  ,"2,49,105",1.8,3.8,3.5,373
Junior Production Officer ,Medusind-Solutions,1-3yrs  ,"6,59,621",4.8,8.0,3.5,373
Process Engineer ,Medusind-Solutions,1-7yrs  ,"5,29,676",3.0,9.0,3.5,373
EHS Officer ,Medusind-Solutions,1-7yrs  ,"2,30,278",1.0,2.5,3.5,373
Officer ,Aparna-Constructions-and-Estates,1-7yrs  ,"4,09,171",2.2,5.0,3.1,368
Junior Officer ,Aparna-Constructions-and-Estates,1-5yrs  ,"4,05,457",2.5,5.4,3.1,368
Production Officer ,Aparna-Constructions-and-Estates,1-6yrs  ,"2,59,532",2.0,3.1,3.1,368
Executive Production ,Aparna-Constructions-and-Estates,5-13yrs  ,"3,15,388",2.0,4.2,3.1,368
QC Officer ,Aparna-Constructions-and-Estates,1-6yrs  ,"3,11,847",1.8,4.8,3.1,368
Scientist 1 ,Aparna-Constructions-and-Estates,2-6yrs  ,"3,64,303",2.4,5.0,3.1,368
Deputy Manager ,Aparna-Constructions-and-Estates,8-16yrs  ,"3,01,787",2.0,4.6,3.1,368
Junior Production Officer ,Aparna-Constructions-and-Estates,1-3yrs  ,"3,60,711",1.5,4.7,3.1,368
Process Engineer ,Aparna-Constructions-and-Estates,1-7yrs  ,"4,53,747",3.0,6.0,3.1,368
EHS Officer ,Aparna-Constructions-and-Estates,1-7yrs  ,"3,17,400",2.3,4.4,3.1,368
Officer ,IDFC-FIRST-Bharat,1-7yrs  ,"2,15,194",1.0,3.6,4.2,359
Junior Officer ,IDFC-FIRST-Bharat,1-5yrs  ,"4,66,069",2.8,6.8,4.2,359
Production Officer ,IDFC-FIRST-Bharat,1-6yrs  ,"2,28,965",95.0,3.4,4.2,359
Executive Production ,IDFC-FIRST-Bharat,5-13yrs  ,"2,34,224",1.5,3.2,4.2,359
QC Officer ,IDFC-FIRST-Bharat,1-6yrs  ,"3,88,523",2.2,7.3,4.2,359
Scientist 1 ,IDFC-FIRST-Bharat,2-6yrs  ,"4,72,540",3.0,7.5,4.2,359
Deputy Manager ,IDFC-FIRST-Bharat,8-16yrs  ,"2,32,790",1.3,5.0,4.2,359
Junior Production Officer ,IDFC-FIRST-Bharat,1-3yrs  ,"5,55,548",2.6,9.1,4.2,359
Process Engineer ,IDFC-FIRST-Bharat,1-7yrs  ,"3,90,652",2.4,5.2,4.2,359
EHS Officer ,IDFC-FIRST-Bharat,1-7yrs  ,"3,63,249",2.0,4.9,4.2,359
Officer ,Michelin,1-7yrs  ,"3,17,835",2.1,4.3,4.1,354
Junior Officer ,Michelin,1-5yrs  ,"13,05,251",9.9,16.4,4.1,354
Production Officer ,Michelin,1-6yrs  ,"3,56,645",2.3,4.8,4.1,354
Executive Production ,Michelin,5-13yrs  ,"3,45,266",2.5,4.5,4.1,354
QC Officer ,Michelin,1-6yrs  ,"9,48,474",6.2,14.0,4.1,354
Scientist 1 ,Michelin,2-6yrs  ,"5,35,484",4.2,6.4,4.1,354
Deputy Manager ,Michelin,8-16yrs  ,"15,48,485",12.1,19.0,4.1,354
Junior Production Officer ,Michelin,1-3yrs  ,"9,06,129",4.5,18.0,4.1,354
Process Engineer ,Michelin,1-7yrs  ,"12,24,974",9.0,16.0,4.1,354
EHS Officer ,Michelin,1-7yrs  ,"13,21,167",9.5,17.7,4.1,354
Officer ,ValueMomentum,1-7yrs  ,"13,45,345",4.4,22.0,4.0,349
Junior Officer ,ValueMomentum,1-5yrs  ,"6,40,944",3.0,15.0,4.0,349
Production Officer ,ValueMomentum,1-6yrs  ,"5,55,277",3.0,12.2,4.0,349
Executive Production ,ValueMomentum,5-13yrs  ,"20,81,310",8.0,30.0,4.0,349
QC Officer ,ValueMomentum,1-6yrs  ,"15,90,365",7.7,19.8,4.0,349
Scientist 1 ,ValueMomentum,2-6yrs  ,"11,88,888",4.5,18.0,4.0,349
Deputy Manager ,ValueMomentum,8-16yrs  ,"6,17,923",2.7,12.0,4.0,349
Junior Production Officer ,ValueMomentum,1-3yrs  ,"6,25,104",3.0,9.3,4.0,349
Process Engineer ,ValueMomentum,1-7yrs  ,"10,63,775",4.5,16.0,4.0,349
EHS Officer ,ValueMomentum,1-7yrs  ,"15,12,097",6.4,19.3,4.0,349
Officer ,Sanden-Vikas,1-7yrs  ,"2,43,608",1.2,3.6,3.7,345
Junior Officer ,Sanden-Vikas,1-5yrs  ,"2,79,852",1.3,4.9,3.7,345
Production Officer ,Sanden-Vikas,1-6yrs  ,"5,16,029",3.0,7.3,3.7,345
Executive Production ,Sanden-Vikas,5-13yrs  ,"2,61,625",15.0,5.0,3.7,345
QC Officer ,Sanden-Vikas,1-6yrs  ,"1,77,342",1.2,2.4,3.7,345
Scientist 1 ,Sanden-Vikas,2-6yrs  ,"1,82,834",1.2,2.5,3.7,345
Deputy Manager ,Sanden-Vikas,8-16yrs  ,"1,94,734",1.0,2.5,3.7,345
Junior Production Officer ,Sanden-Vikas,1-3yrs  ,"1,67,887",1.2,2.4,3.7,345
Process Engineer ,Sanden-Vikas,1-7yrs  ,"2,55,527",1.4,3.7,3.7,345
EHS Officer ,Sanden-Vikas,1-7yrs  ,"9,97,717",7.5,12.2,3.7,345
Officer ,Navayuga-Engineering-Company,1-7yrs  ,"3,58,449",1.8,6.5,4.2,340
Junior Officer ,Navayuga-Engineering-Company,1-5yrs  ,"3,53,911",2.0,6.0,4.2,340
Production Officer ,Navayuga-Engineering-Company,1-6yrs  ,"6,52,065",3.4,11.0,4.2,340
Executive Production ,Navayuga-Engineering-Company,5-13yrs  ,"2,34,436",1.5,3.2,4.2,340
QC Officer ,Navayuga-Engineering-Company,1-6yrs  ,"3,14,298",2.0,4.0,4.2,340
Scientist 1 ,Navayuga-Engineering-Company,2-6yrs  ,"3,65,425",2.1,7.2,4.2,340
Deputy Manager ,Navayuga-Engineering-Company,8-16yrs  ,"3,57,355",2.4,4.8,4.2,340
Junior Production Officer ,Navayuga-Engineering-Company,1-3yrs  ,"4,74,992",3.1,6.6,4.2,340
Process Engineer ,Navayuga-Engineering-Company,1-7yrs  ,"3,50,047",2.4,5.0,4.2,340
EHS Officer ,Navayuga-Engineering-Company,1-7yrs  ,"5,44,310",3.6,8.1,4.2,340
Officer ,Pristyn-Care,1-7yrs  ,"4,78,859",3.0,10.0,3.9,336
Junior Officer ,Pristyn-Care,1-5yrs  ,"6,34,204",4.0,9.0,3.9,336
Production Officer ,Pristyn-Care,1-6yrs  ,"13,38,512",9.5,17.0,3.9,336
Executive Production ,Pristyn-Care,5-13yrs  ,"5,09,552",3.4,6.8,3.9,336
QC Officer ,Pristyn-Care,1-6yrs  ,"3,89,702",3.2,4.5,3.9,336
Scientist 1 ,Pristyn-Care,2-6yrs  ,"9,68,124",7.0,12.7,3.9,336
Deputy Manager ,Pristyn-Care,8-16yrs  ,"8,06,061",5.3,12.2,3.9,336
Junior Production Officer ,Pristyn-Care,1-3yrs  ,"3,56,267",3.0,4.5,3.9,336
Process Engineer ,Pristyn-Care,1-7yrs  ,"4,48,103",3.8,5.5,3.9,336
EHS Officer ,Pristyn-Care,1-7yrs  ,"23,79,259",15.0,33.0,3.9,336
Officer ,Carnival-Cruise-Lines,1-7yrs  ,"5,14,458",40.0,10.9,3.7,333
Junior Officer ,Carnival-Cruise-Lines,1-5yrs  ,"8,11,406",30.0,15.5,3.7,333
Production Officer ,Carnival-Cruise-Lines,1-6yrs  ,"7,60,625",95.0,24.0,3.7,333
Executive Production ,Carnival-Cruise-Lines,5-13yrs  ,"4,65,041",10.0,9.7,3.7,333
QC Officer ,Carnival-Cruise-Lines,1-6yrs  ,"3,87,630",55.0,8.0,3.7,333
Scientist 1 ,Carnival-Cruise-Lines,2-6yrs  ,"6,46,000",90.0,11.2,3.7,333
Deputy Manager ,Carnival-Cruise-Lines,8-16yrs  ,"5,98,571",1.2,10.0,3.7,333
Junior Production Officer ,Carnival-Cruise-Lines,1-3yrs  ,"10,58,611",2.1,18.0,3.7,333
Process Engineer ,Carnival-Cruise-Lines,1-7yrs  ,"4,49,706",80.0,9.3,3.7,333
EHS Officer ,Carnival-Cruise-Lines,1-7yrs  ,"1,81,250",70.0,4.3,3.7,333
Officer ,Allscripts,1-7yrs  ,"9,86,149",4.9,16.0,3.6,330
Junior Officer ,Allscripts,1-5yrs  ,"15,43,899",9.1,20.0,3.6,330
Production Officer ,Allscripts,1-6yrs  ,"22,35,183",14.0,28.4,3.6,330
Executive Production ,Allscripts,5-13yrs  ,"9,71,235",4.5,13.0,3.6,330
QC Officer ,Allscripts,1-6yrs  ,"8,12,201",4.3,10.0,3.6,330
Scientist 1 ,Allscripts,2-6yrs  ,"6,46,112",3.0,9.3,3.6,330
Deputy Manager ,Allscripts,8-16yrs  ,"7,87,428",5.0,11.0,3.6,330
Junior Production Officer ,Allscripts,1-3yrs  ,"7,25,372",4.3,10.0,3.6,330
Process Engineer ,Allscripts,1-7yrs  ,"14,09,794",9.3,17.4,3.6,330
EHS Officer ,Allscripts,1-7yrs  ,"6,93,070",4.2,8.6,3.6,330
Officer ,Webhelp,1-7yrs  ,"3,89,438",2.1,5.1,4.0,326
Junior Officer ,Webhelp,1-5yrs  ,"3,59,106",2.5,5.0,4.0,326
Production Officer ,Webhelp,1-6yrs  ,"3,61,476",2.8,4.5,4.0,326
Executive Production ,Webhelp,5-13yrs  ,"6,38,123",4.0,8.3,4.0,326
QC Officer ,Webhelp,1-6yrs  ,"6,13,933",4.0,8.0,4.0,326
Scientist 1 ,Webhelp,2-6yrs  ,"5,15,744",3.4,7.0,4.0,326
Deputy Manager ,Webhelp,8-16yrs  ,"6,67,219",4.5,8.5,4.0,326
Junior Production Officer ,Webhelp,1-3yrs  ,"3,75,513",3.0,5.0,4.0,326
Process Engineer ,Webhelp,1-7yrs  ,"3,92,111",2.9,5.8,4.0,326
EHS Officer ,Webhelp,1-7yrs  ,"6,86,433",5.9,7.4,4.0,326
Officer ,Pacific-BPO,1-7yrs  ,"5,75,474",3.1,7.5,4.0,323
Junior Officer ,Pacific-BPO,1-5yrs  ,"4,80,676",3.3,6.0,4.0,323
Production Officer ,Pacific-BPO,1-6yrs  ,"6,42,872",4.0,8.0,4.0,323
Executive Production ,Pacific-BPO,5-13yrs  ,"3,65,373",2.0,5.8,4.0,323
QC Officer ,Pacific-BPO,1-6yrs  ,"3,12,110",1.8,4.2,4.0,323
Scientist 1 ,Pacific-BPO,2-6yrs  ,"4,79,581",3.4,6.0,4.0,323
Deputy Manager ,Pacific-BPO,8-16yrs  ,"3,26,413",1.8,4.3,4.0,323
Junior Production Officer ,Pacific-BPO,1-3yrs  ,"5,04,691",3.5,6.1,4.0,323
Process Engineer ,Pacific-BPO,1-7yrs  ,"4,67,589",3.4,5.7,4.0,323
EHS Officer ,Pacific-BPO,1-7yrs  ,"4,63,294",3.0,6.0,4.0,323
Officer ,SFO-Technologies,1-7yrs  ,"1,42,954",10.0,8.1,4.8,321
Junior Officer ,SFO-Technologies,1-5yrs  ,"3,40,850",1.3,5.2,4.8,321
Production Officer ,SFO-Technologies,1-6yrs  ,"6,44,672",3.9,8.4,4.8,321
Executive Production ,SFO-Technologies,5-13yrs  ,"3,51,208",1.8,6.0,4.8,321
QC Officer ,SFO-Technologies,1-6yrs  ,"3,15,595",1.0,5.3,4.8,321
Scientist 1 ,SFO-Technologies,2-6yrs  ,"6,58,594",3.8,13.5,4.8,321
Deputy Manager ,SFO-Technologies,8-16yrs  ,"1,81,694",10.0,3.3,4.8,321
Junior Production Officer ,SFO-Technologies,1-3yrs  ,"2,35,029",1.1,3.9,4.8,321
Process Engineer ,SFO-Technologies,1-7yrs  ,"2,70,674",1.5,4.0,4.8,321
EHS Officer ,SFO-Technologies,1-7yrs  ,"5,31,987",2.4,8.1,4.8,321
Officer ,LEAD-School,1-7yrs  ,"9,74,269",5.2,13.2,3.3,318
Junior Officer ,LEAD-School,1-5yrs  ,"10,30,532",6.2,14.0,3.3,318
Production Officer ,LEAD-School,1-6yrs  ,"11,02,931",7.8,13.2,3.3,318
Executive Production ,LEAD-School,5-13yrs  ,"8,72,305",6.6,11.0,3.3,318
QC Officer ,LEAD-School,1-6yrs  ,"9,43,825",5.0,12.3,3.3,318
Scientist 1 ,LEAD-School,2-6yrs  ,"8,59,879",4.8,11.3,3.3,318
Deputy Manager ,LEAD-School,8-16yrs  ,"16,14,850",10.0,22.5,3.3,318
Junior Production Officer ,LEAD-School,1-3yrs  ,"7,30,165",5.3,11.0,3.3,318
Process Engineer ,LEAD-School,1-7yrs  ,"7,65,375",5.5,10.0,3.3,318
EHS Officer ,LEAD-School,1-7yrs  ,"3,55,685",3.0,4.7,3.3,318
Officer ,Kalpataru-Group,1-7yrs  ,"6,98,894",3.8,9.6,3.8,315
Junior Officer ,Kalpataru-Group,1-5yrs  ,"4,75,219",3.0,7.0,3.8,315
Production Officer ,Kalpataru-Group,1-6yrs  ,"24,93,505",16.5,35.0,3.8,315
Executive Production ,Kalpataru-Group,5-13yrs  ,"4,15,561",2.8,6.0,3.8,315
QC Officer ,Kalpataru-Group,1-6yrs  ,"6,57,341",3.1,8.6,3.8,315
Scientist 1 ,Kalpataru-Group,2-6yrs  ,"4,63,613",2.6,6.7,3.8,315
Deputy Manager ,Kalpataru-Group,8-16yrs  ,"13,88,286",10.0,20.0,3.8,315
Junior Production Officer ,Kalpataru-Group,1-3yrs  ,"10,51,288",6.0,15.5,3.8,315
Process Engineer ,Kalpataru-Group,1-7yrs  ,"33,18,588",25.0,43.0,3.8,315
EHS Officer ,Kalpataru-Group,1-7yrs  ,"10,20,838",6.5,17.0,3.8,315
Officer ,Musashi-Auto-Parts,1-7yrs  ,"3,39,005",1.7,5.1,4.3,312
Junior Officer ,Musashi-Auto-Parts,1-5yrs  ,"4,66,907",2.3,7.5,4.3,312
Production Officer ,Musashi-Auto-Parts,1-6yrs  ,"11,82,175",7.4,16.0,4.3,312
Executive Production ,Musashi-Auto-Parts,5-13yrs  ,"3,37,192",2.0,4.2,4.3,312
QC Officer ,Musashi-Auto-Parts,1-6yrs  ,"7,31,477",4.0,10.0,4.3,312
Scientist 1 ,Musashi-Auto-Parts,2-6yrs  ,"4,06,845",2.3,6.5,4.3,312
Deputy Manager ,Musashi-Auto-Parts,8-16yrs  ,"3,80,416",2.6,5.5,4.3,312
Junior Production Officer ,Musashi-Auto-Parts,1-3yrs  ,"2,16,917",1.1,2.8,4.3,312
Process Engineer ,Musashi-Auto-Parts,1-7yrs  ,"1,81,626",1.1,2.3,4.3,312
EHS Officer ,Musashi-Auto-Parts,1-7yrs  ,"3,85,925",3.0,6.0,4.3,312
Officer ,Musashi-Auto-Parts,1-7yrs  ,"3,39,005",1.7,5.1,4.0,309
Junior Officer ,Musashi-Auto-Parts,1-5yrs  ,"4,66,907",2.3,7.5,4.0,309
Production Officer ,Musashi-Auto-Parts,1-6yrs  ,"11,82,175",7.4,16.0,4.0,309
Executive Production ,Musashi-Auto-Parts,5-13yrs  ,"3,37,192",2.0,4.2,4.0,309
QC Officer ,Musashi-Auto-Parts,1-6yrs  ,"7,31,477",4.0,10.0,4.0,309
Scientist 1 ,Musashi-Auto-Parts,2-6yrs  ,"4,06,845",2.3,6.5,4.0,309
Deputy Manager ,Musashi-Auto-Parts,8-16yrs  ,"3,80,416",2.6,5.5,4.0,309
Junior Production Officer ,Musashi-Auto-Parts,1-3yrs  ,"2,16,917",1.1,2.8,4.0,309
Process Engineer ,Musashi-Auto-Parts,1-7yrs  ,"1,81,626",1.1,2.3,4.0,309
EHS Officer ,Musashi-Auto-Parts,1-7yrs  ,"3,85,925",3.0,6.0,4.0,309
Officer ,Genpact-Headstrong-Capital-Markets,1-7yrs  ,"17,47,131",5.0,34.0,3.9,306
Junior Officer ,Genpact-Headstrong-Capital-Markets,1-5yrs  ,"21,67,849",7.3,32.6,3.9,306
Production Officer ,Genpact-Headstrong-Capital-Markets,1-6yrs  ,"5,23,330",2.6,10.0,3.9,306
Executive Production ,Genpact-Headstrong-Capital-Markets,5-13yrs  ,"3,69,014",2.2,5.0,3.9,306
QC Officer ,Genpact-Headstrong-Capital-Markets,1-6yrs  ,"13,71,708",5.5,22.0,3.9,306
Scientist 1 ,Genpact-Headstrong-Capital-Markets,2-6yrs  ,"29,45,590",13.0,36.0,3.9,306
Deputy Manager ,Genpact-Headstrong-Capital-Markets,8-16yrs  ,"6,21,100",2.6,13.0,3.9,306
Junior Production Officer ,Genpact-Headstrong-Capital-Markets,1-3yrs  ,"4,33,028",3.0,6.0,3.9,306
Process Engineer ,Genpact-Headstrong-Capital-Markets,1-7yrs  ,"9,19,310",3.0,14.7,3.9,306
EHS Officer ,Genpact-Headstrong-Capital-Markets,1-7yrs  ,"2,71,114",1.5,4.0,3.9,306
Officer ,OCS-Group,1-7yrs  ,"3,30,760",1.8,4.8,3.8,304
Junior Officer ,OCS-Group,1-5yrs  ,"2,35,293",35.0,3.5,3.8,304
Production Officer ,OCS-Group,1-6yrs  ,"2,17,206",95.0,3.1,3.8,304
Executive Production ,OCS-Group,5-13yrs  ,"2,21,091",20.0,3.3,3.8,304
QC Officer ,OCS-Group,1-6yrs  ,"2,96,489",1.5,4.0,3.8,304
Scientist 1 ,OCS-Group,2-6yrs  ,"2,90,473",1.5,4.4,3.8,304
Deputy Manager ,OCS-Group,8-16yrs  ,"2,28,567",1.3,3.5,3.8,304
Junior Production Officer ,OCS-Group,1-3yrs  ,"3,02,633",1.5,4.5,3.8,304
Process Engineer ,OCS-Group,1-7yrs  ,"2,66,947",1.6,5.5,3.8,304
EHS Officer ,OCS-Group,1-7yrs  ,"7,79,836",3.5,10.2,3.8,304
Officer ,OLX,1-7yrs  ,"4,11,881",2.4,7.0,3.9,302
Junior Officer ,OLX,1-5yrs  ,"4,92,532",2.9,6.5,3.9,302
Production Officer ,OLX,1-6yrs  ,"5,57,971",3.9,8.4,3.9,302
Executive Production ,OLX,5-13yrs  ,"6,08,865",3.4,8.0,3.9,302
QC Officer ,OLX,1-6yrs  ,"10,82,829",6.0,15.0,3.9,302
Scientist 1 ,OLX,2-6yrs  ,"4,63,494",2.9,5.6,3.9,302
Deputy Manager ,OLX,8-16yrs  ,"6,44,225",3.0,11.5,3.9,302
Junior Production Officer ,OLX,1-3yrs  ,"5,57,148",3.8,7.2,3.9,302
Process Engineer ,OLX,1-7yrs  ,"3,80,500",2.4,5.3,3.9,302
EHS Officer ,OLX,1-7yrs  ,"32,40,811",23.5,40.0,3.9,302
Officer ,Grant-Thornton,1-7yrs  ,"11,56,073",6.0,17.5,4.0,298
Junior Officer ,Grant-Thornton,1-5yrs  ,"8,67,144",1.5,16.0,4.0,298
Production Officer ,Grant-Thornton,1-6yrs  ,"35,98,045",20.0,45.0,4.0,298
Executive Production ,Grant-Thornton,5-13yrs  ,"6,42,381",3.0,9.5,4.0,298
QC Officer ,Grant-Thornton,1-6yrs  ,"5,59,048",3.8,7.0,4.0,298
Scientist 1 ,Grant-Thornton,2-6yrs  ,"6,29,451",17.5,12.0,4.0,298
Deputy Manager ,Grant-Thornton,8-16yrs  ,"4,96,755",2.8,5.5,4.0,298
Junior Production Officer ,Grant-Thornton,1-3yrs  ,"11,90,109",6.0,19.0,4.0,298
Process Engineer ,Grant-Thornton,1-7yrs  ,"7,16,607",4.0,10.6,4.0,298
EHS Officer ,Grant-Thornton,1-7yrs  ,"46,19,319",30.0,55.0,4.0,298
Officer ,GirnarSoft,1-7yrs  ,"1,85,205",1.0,4.0,4.1,293
Junior Officer ,GirnarSoft,1-5yrs  ,"3,65,722",2.2,4.5,4.1,293
Production Officer ,GirnarSoft,1-6yrs  ,"10,96,434",5.0,18.0,4.1,293
Executive Production ,GirnarSoft,5-13yrs  ,"6,20,279",3.4,11.8,4.1,293
QC Officer ,GirnarSoft,1-6yrs  ,"2,86,765",1.8,3.8,4.1,293
Scientist 1 ,GirnarSoft,2-6yrs  ,"3,10,809",1.8,4.3,4.1,293
Deputy Manager ,GirnarSoft,8-16yrs  ,"3,39,071",1.5,4.8,4.1,293
Junior Production Officer ,GirnarSoft,1-3yrs  ,"4,58,188",2.6,7.7,4.1,293
Process Engineer ,GirnarSoft,1-7yrs  ,"3,38,230",2.9,5.6,4.1,293
EHS Officer ,GirnarSoft,1-7yrs  ,"4,83,619",3.1,7.0,4.1,293
Officer ,Reliance-Power,1-7yrs  ,"3,02,779",2.2,4.7,3.6,291
Junior Officer ,Reliance-Power,1-5yrs  ,"20,37,645",13.0,33.2,3.6,291
Production Officer ,Reliance-Power,1-6yrs  ,"4,54,706",3.1,5.5,3.6,291
Executive Production ,Reliance-Power,5-13yrs  ,"3,19,122",2.4,4.6,3.6,291
QC Officer ,Reliance-Power,1-6yrs  ,"30,29,041",18.8,38.0,3.6,291
Scientist 1 ,Reliance-Power,2-6yrs  ,"3,57,931",2.2,5.6,3.6,291
Deputy Manager ,Reliance-Power,8-16yrs  ,"13,30,200",10.5,17.9,3.6,291
Junior Production Officer ,Reliance-Power,1-3yrs  ,"9,64,375",8.0,11.8,3.6,291
Process Engineer ,Reliance-Power,1-7yrs  ,"20,77,239",16.1,25.0,3.6,291
EHS Officer ,Reliance-Power,1-7yrs  ,"5,83,696",5.1,7.2,3.6,291
Officer ,ICCS,1-7yrs  ,"1,89,497",10.0,10.1,4.3,288
Junior Officer ,ICCS,1-5yrs  ,"2,76,984",96.0,4.3,4.3,288
Production Officer ,ICCS,1-6yrs  ,"2,24,419",10.0,15.2,4.3,288
Executive Production ,ICCS,5-13yrs  ,"2,54,662",20.0,10.1,4.3,288
QC Officer ,ICCS,1-6yrs  ,"2,14,633",96.0,3.2,4.3,288
Scientist 1 ,ICCS,2-6yrs  ,"1,72,644",85.0,4.0,4.3,288
Deputy Manager ,ICCS,8-16yrs  ,"2,39,593",1.0,4.0,4.3,288
Junior Production Officer ,ICCS,1-3yrs  ,"2,08,926",1.1,4.0,4.3,288
Process Engineer ,ICCS,1-7yrs  ,"2,80,797",1.6,4.1,4.3,288
EHS Officer ,ICCS,1-7yrs  ,"1,31,860",10.0,4.5,4.3,288
Officer ,ICA-Edu-Skills,1-7yrs  ,"3,07,177",20.0,15.3,3.8,286
Junior Officer ,ICA-Edu-Skills,1-5yrs  ,"3,18,354",1.9,5.2,3.8,286
Production Officer ,ICA-Edu-Skills,1-6yrs  ,"2,12,695",1.5,3.3,3.8,286
Executive Production ,ICA-Edu-Skills,5-13yrs  ,"2,07,142",1.1,3.5,3.8,286
QC Officer ,ICA-Edu-Skills,1-6yrs  ,"2,16,625",1.0,3.5,3.8,286
Scientist 1 ,ICA-Edu-Skills,2-6yrs  ,"1,82,945",15.0,3.1,3.8,286
Deputy Manager ,ICA-Edu-Skills,8-16yrs  ,"1,80,456",1.0,2.9,3.8,286
Junior Production Officer ,ICA-Edu-Skills,1-3yrs  ,"1,86,383",50.0,3.0,3.8,286
Process Engineer ,ICA-Edu-Skills,1-7yrs  ,"2,27,077",1.8,3.4,3.8,286
EHS Officer ,ICA-Edu-Skills,1-7yrs  ,"2,13,634",1.6,3.2,3.8,286
Officer ,Aditya-Birla-Finance,1-7yrs  ,"5,37,091",3.0,9.1,3.6,284
Junior Officer ,Aditya-Birla-Finance,1-5yrs  ,"6,98,878",3.5,11.0,3.6,284
Production Officer ,Aditya-Birla-Finance,1-6yrs  ,"5,43,757",3.0,12.5,3.6,284
Executive Production ,Aditya-Birla-Finance,5-13yrs  ,"13,44,089",7.5,24.1,3.6,284
QC Officer ,Aditya-Birla-Finance,1-6yrs  ,"6,24,841",15.0,14.2,3.6,284
Scientist 1 ,Aditya-Birla-Finance,2-6yrs  ,"12,68,244",7.5,16.5,3.6,284
Deputy Manager ,Aditya-Birla-Finance,8-16yrs  ,"17,49,859",7.4,38.0,3.6,284
Junior Production Officer ,Aditya-Birla-Finance,1-3yrs  ,"5,46,869",3.0,8.6,3.6,284
Process Engineer ,Aditya-Birla-Finance,1-7yrs  ,"2,75,999",2.0,3.8,3.6,284
EHS Officer ,Aditya-Birla-Finance,1-7yrs  ,"18,20,168",10.0,25.7,3.6,284
Officer ,Schlumberger,1-7yrs  ,"21,64,918",9.1,35.0,4.4,278
Junior Officer ,Schlumberger,1-5yrs  ,"16,27,902",6.0,24.0,4.4,278
Production Officer ,Schlumberger,1-6yrs  ,"27,71,970",14.8,34.0,4.4,278
Executive Production ,Schlumberger,5-13yrs  ,"13,17,070",6.0,18.5,4.4,278
QC Officer ,Schlumberger,1-6yrs  ,"18,15,667",7.0,27.3,4.4,278
Scientist 1 ,Schlumberger,2-6yrs  ,"11,80,412",6.6,14.0,4.4,278
Deputy Manager ,Schlumberger,8-16yrs  ,"5,05,031",3.0,9.7,4.4,278
Junior Production Officer ,Schlumberger,1-3yrs  ,"13,99,447",6.2,23.6,4.4,278
Process Engineer ,Schlumberger,1-7yrs  ,"14,68,957",8.0,19.0,4.4,278
